check,severity,entity,iri,field,message
definitions,WARNING,AmericanHockeyLeagueUniform,http://kbpedia.org/kko/rc/AmericanHockeyLeagueUniform,definition,short definition (4 words; floor 6)
definitions,WARNING,AmericanPeopleOfArabDescent,http://kbpedia.org/kko/rc/AmericanPeopleOfArabDescent,definition,short definition (5 words; floor 6)
definitions,WARNING,AmericanPeopleOfHausaDescent,http://kbpedia.org/kko/rc/AmericanPeopleOfHausaDescent,definition,short definition (5 words; floor 6)
definitions,WARNING,AmericanPhraseology,http://kbpedia.org/kko/rc/AmericanPhraseology,definition,short definition (3 words; floor 6)
definitions,WARNING,AmericanSamoa,http://kbpedia.org/kko/rc/AmericanSamoa,definition,short definition (4 words; floor 6)
definitions,WARNING,AmericanStudies,http://kbpedia.org/kko/rc/AmericanStudies,definition,short definition (4 words; floor 6)
definitions,WARNING,AmericanWaterSpaniel,http://kbpedia.org/kko/rc/AmericanWaterSpaniel,definition,short definition (4 words; floor 6)
definitions,WARNING,AmharicLanguage,http://kbpedia.org/kko/rc/AmharicLanguage,definition,short definition (2 words; floor 6)
definitions,WARNING,AmiralCharner_classCruiser,http://kbpedia.org/kko/rc/AmiralCharner_classCruiser,definition,short definition (5 words; floor 6)
definitions,WARNING,Amoebozoa,http://kbpedia.org/kko/rc/Amoebozoa,definition,short definition (4 words; floor 6)
definitions,WARNING,Amorphoscelididae,http://kbpedia.org/kko/rc/Amorphoscelididae,definition,short definition (4 words; floor 6)
definitions,WARNING,Amphipoda,http://kbpedia.org/kko/rc/Amphipoda,definition,short definition (4 words; floor 6)
definitions,WARNING,Ampullariidae,http://kbpedia.org/kko/rc/Ampullariidae,definition,short definition (4 words; floor 6)
