s,p,o
rc:AcademicSemester,owl:equivalentClass,http://wikipedia.org/wiki/Semester
rc:AcademicTerm,owl:equivalentClass,http://wikipedia.org/wiki/Academic_term
rc:AcademicTesting,owl:equivalentClass,http://wikipedia.org/wiki/Test_(assessment)
rc:AcademicTrimester,owl:equivalentClass,http://wikipedia.org/wiki/Trimester
rc:AcademicYear,owl:equivalentClass,http://wikipedia.org/wiki/Academic_year
rc:Academy,owl:equivalentClass,http://wikipedia.org/wiki/Academy
rc:AcademyAward,owl:equivalentClass,http://wikipedia.org/wiki/Academy_Award
rc:AcademyAwardCategory,rdfs:subClassOf,http://wikipedia.org/wiki/Academy_Awards
rc:AcademyAwardForBestActor_Movie,owl:equivalentClass,http://wikipedia.org/wiki/Academy_Award_for_Best_Actor
rc:AcademyAwardForBestActress_Movie,owl:equivalentClass,http://wikipedia.org/wiki/Academy_Award_for_Best_Actress
rc:AcademyAwardForBestSupportingActor_Movie,owl:equivalentClass,http://wikipedia.org/wiki/Academy_Award_for_Best_Supporting_Actor
rc:AcademyMuseumOfMotionPictures,owl:equivalentClass,http://wikipedia.org/wiki/Academy_Museum_of_Motion_Pictures
rc:AcademyOfMotionPictureArtsAndSciences,owl:equivalentClass,http://wikipedia.org/wiki/Academy_of_Motion_Picture_Arts_and_Sciences
rc:AcadiaNationalPark,owl:equivalentClass,http://wikipedia.org/wiki/Acadia_National_Park
rc:Acalyptratae,owl:equivalentClass,http://wikipedia.org/wiki/Acalyptratae
rc:Acantharea,owl:equivalentClass,http://wikipedia.org/wiki/Acantharia
rc:Acanthite,owl:equivalentClass,http://wikipedia.org/wiki/Acanthite
rc:Acanthizidae,owl:equivalentClass,http://wikipedia.org/wiki/Acanthizidae
rc:AcanthobrahmaeaEuropaea,owl:equivalentClass,http://wikipedia.org/wiki/Brahmaea_europaea
rc:Acanthocalycium,owl:equivalentClass,http://wikipedia.org/wiki/Acanthocalycium
rc:Acanthocercus,owl:equivalentClass,http://wikipedia.org/wiki/Acanthocercus
rc:Acanthocereus,owl:equivalentClass,http://wikipedia.org/wiki/Acanthocereus
rc:AcanthocheilonemaViteae,owl:equivalentClass,http://wikipedia.org/wiki/Acanthocheilonema_viteae
rc:Acanthodactylus,owl:equivalentClass,http://wikipedia.org/wiki/Acanthodactylus
rc:Acanthomintha,owl:equivalentClass,http://wikipedia.org/wiki/Acanthomintha
rc:AcanthominthaDuttonii,owl:equivalentClass,http://wikipedia.org/wiki/Acanthomintha_duttonii
rc:Acanthopelminae,owl:equivalentClass,http://wikipedia.org/wiki/Acanthopelma
rc:Acanthophoenix,owl:equivalentClass,http://wikipedia.org/wiki/Acanthophoenix
rc:Acanthopteroctetidae,owl:equivalentClass,http://wikipedia.org/wiki/Acanthopteroctetidae
rc:Acanthostachys,owl:equivalentClass,http://wikipedia.org/wiki/Acanthostachys
rc:Acariformes,owl:equivalentClass,http://wikipedia.org/wiki/Acariformes
rc:Acarina,owl:equivalentClass,http://wikipedia.org/wiki/Acari
rc:Acartophthalmidae,owl:equivalentClass,http://wikipedia.org/wiki/Acartophthalmidae
rc:Accelerating,owl:equivalentClass,http://wikipedia.org/wiki/Accelerating_change
rc:Acceleration,owl:equivalentClass,http://wikipedia.org/wiki/Acceleration
rc:AccelerationClause,owl:equivalentClass,http://wikipedia.org/wiki/Acceleration_clause
rc:AcceleratorMassSpectrometry,owl:equivalentClass,http://wikipedia.org/wiki/Accelerator_mass_spectrometry
rc:Accepted,owl:equivalentClass,http://wikipedia.org/wiki/Accepted
rc:Accessibility,owl:equivalentClass,http://wikipedia.org/wiki/Accessibility
rc:AccessoryFruit,owl:equivalentClass,http://wikipedia.org/wiki/Accessory_fruit
rc:AccessoryHemiAzygosVein,owl:equivalentClass,http://wikipedia.org/wiki/Accessory_hemiazygos_vein
rc:AccessoryMuscle,owl:equivalentClass,http://wikipedia.org/wiki/Accessory_muscle
rc:AccessoryNerve,owl:equivalentClass,http://wikipedia.org/wiki/Accessory_nerve
rc:Accident,owl:equivalentClass,http://wikipedia.org/wiki/Accident
rc:Accipiter,owl:equivalentClass,http://wikipedia.org/wiki/Accipiter
rc:Accipitridae,owl:equivalentClass,http://wikipedia.org/wiki/Accipitridae
rc:Accipitriformes,owl:equivalentClass,http://wikipedia.org/wiki/Accipitriformes
rc:Accipitrinae,owl:equivalentClass,http://wikipedia.org/wiki/Accipitrinae
rc:Accommodating_HelpingAnAgent,owl:equivalentClass,http://wikipedia.org/wiki/Accommodation_reflex
rc:Accordion,owl:equivalentClass,http://wikipedia.org/wiki/Accordion
rc:AccountManager,owl:equivalentClass,http://wikipedia.org/wiki/Account_manager
rc:AccountSystem,owl:equivalentClass,http://wikipedia.org/wiki/Accounting_information_system
rc:Accountant,owl:equivalentClass,http://wikipedia.org/wiki/Accountant
rc:Accounting,owl:equivalentClass,http://wikipedia.org/wiki/Accounting
