typology_a,typology_b,shared_members,size_a,size_b,shared_rcs
Associatives,Chemistry,7,141,1545,ChemicalBond;CovalentBond;HydrogenBond;IonicBond;MetallicBond;PhosphodiesterBond;PolarCovalentBond
Associatives,NaturalMatter,7,141,2979,ChemicalBond;CovalentBond;HydrogenBond;IonicBond;MetallicBond;PhosphodiesterBond;PolarCovalentBond
AttributeTypes,Plants,7,1804,2330,AngiospermReproduction;DioeciousPlantSpecies;HermaphroditicPlantSpecies;MonoeciousPlantSpecies;Pollination;PollinationManagement;PollinatorDecline
AudioInfo,KnowledgeDomains,7,443,4841,CyberpunkSubgenre;CyberpunkTheme;Cypherpunk;MusicalComposition_Cyberpunk;OperaGenre;TragediesEnMusique;VideoArt
AudioInfo,Methodeutic,7,443,5321,CyberpunkSubgenre;CyberpunkTheme;Cypherpunk;MusicalComposition_Cyberpunk;OperaGenre;TragediesEnMusique;VideoArt
Chemistry,RepresentationTypes,7,1545,638,ChemicalBond;CovalentBond;HydrogenBond;IonicBond;MetallicBond;PhosphodiesterBond;PolarCovalentBond
Concepts,Diseases,7,313,916,2009FluPandemic;AlcoholAbuse;EpidemicTyphus_NAmerica;FluPandemic;MethMouth;ShipsLostWithAllHands;SpiderBite
ConceptualSystems,Eukaryotes,7,1408,9662,ArtificialChristmasTree;ChristmasTree;CutFlower;Marijuana;Mistletoe;NaturalChristmasTree;TrimmedChristmasTree
ConceptualSystems,FoodDrink,7,1408,1932,Absinthe;ConsumingFood_FoodTopic;FoodAndDrink_Topic;FoodChain;Food_Topic;Foodstuffs_Food_Topic;HungerAndMalnutrition_FoodTopic
ConceptualSystems,Plants,7,1408,2330,ArtificialChristmasTree;ChristmasTree;CutFlower;Marijuana;Mistletoe;NaturalChristmasTree;TrimmedChristmasTree
Constituents,Drugs,7,13244,1706,Absinthe;AceticAcid;Atropine;Cocaine_Powder;Paraformaldehyde;SodiumBicarbonate;SpermicidalCream
ContextualAttributes,Plants,7,1504,2330,AngiospermReproduction;DioeciousPlantSpecies;HermaphroditicPlantSpecies;MonoeciousPlantSpecies;Pollination;PollinationManagement;PollinatorDecline
CopulativeRelations,Eukaryotes,7,7836,9662,Dominatrix;Foliage;Pollination;PollinationManagement;PollinatorDecline;Rice;RiceVariety
Diseases,SpaceTypes,7,916,9280,BrainDisease;CentralNervousSystemDisease;CentralNervousSystemInfection;DemyelinatingDiseasesOfCNS;HepaticEncephalopathy;UrothelialTumor;ViralInfectionsOfTheCentralNervousSystem
Drugs,Forms,7,1706,1906,Absinthe;AceticAcid;Atropine;Cocaine_Powder;Paraformaldehyde;SodiumBicarbonate;SpermicidalCream
Drugs,SpaceTypes,7,1706,9280,Absinthe;AceticAcid;Atropine;Cocaine_Powder;Paraformaldehyde;SodiumBicarbonate;SpermicidalCream
EconomicSystems,PrimarySectorProducts,7,1765,1726,BankDraft;Check_TenderObject;LiftTicket;MoneyOrder;PersonalCheck;PostalOrder;TravellersCheck
EmergentKnowledge,SecondarySectorProducts,7,202,16016,AtomicModel;ConsistencyModel;KnowledgeRepresentationSoftware;MineralModel;SymbolicsDocumentExaminer;Thesaurus;ThesaurusProgram
Eukaryotes,TopicsCategories,7,9662,822,ArtificialChristmasTree;ChristmasTree;CutFlower;Marijuana;Mistletoe;NaturalChristmasTree;TrimmedChristmasTree
FoodDrink,Predications,7,1932,10601,CornishHen;Cow;FermentedFood;Naem;Rice;RiceVariety;Rooster
FoodDrink,TopicsCategories,7,1932,822,Absinthe;ConsumingFood_FoodTopic;FoodAndDrink_Topic;FoodChain;Food_Topic;Foodstuffs_Food_Topic;HungerAndMalnutrition_FoodTopic
Forms,InquiryMethods,7,1906,724,CommonSense;EcologicalIndicator;EcologicalMetric;EnvironmentalIndicator;EnvironmentalResearch;IntelligenceTest;SheafTheory
Indexes,TertiarySectorServices,7,137,2560,FIPSStateCode;FIPSState_CountyCode;Geocode;InternationalPostalCode;Logo;PostalCode;ZipCode
Information,OrganicMatter,7,6048,11814,AustralopithecusFossil;Fossil;FossilAlgae;HomininFossil;MaotianshanShalesFossil;TransitionalFossil;WhiteSeaFossil
InquiryMethods,SpaceTypes,7,724,9280,CommonSense;EcologicalIndicator;EcologicalMetric;EnvironmentalIndicator;EnvironmentalResearch;IntelligenceTest;SheafTheory
IntrinsicAttributes,TopicsCategories,7,256,822,Beauty;Black_EyeColor;Blue_EyeColor;Brown_EyeColor;Gray_EyeColor;Green_EyeColor;Hazel_EyeColor
NaturalMatter,RepresentationTypes,7,2979,638,ChemicalBond;CovalentBond;HydrogenBond;IonicBond;MetallicBond;PhosphodiesterBond;PolarCovalentBond
NaturalSubstances,Shapes,7,1209,260,BloodDiamond;Cone_Topographical;DiamondSimulant;Diamond_Gem;IceCube;IndividualDiamond;SyntheticDiamond
Plants,TopicsCategories,7,2330,822,ArtificialChristmasTree;ChristmasTree;CutFlower;Marijuana;Mistletoe;NaturalChristmasTree;TrimmedChristmasTree
PrimarySectorProducts,SocialSystems,7,1726,4232,BankDraft;Check_TenderObject;LiftTicket;MoneyOrder;PersonalCheck;PostalOrder;TravellersCheck
AreaRegion,Shapes,8,4076,260,AgonicLine;Cone_Topographical;ContourLine;DepthContour;FlatRegion;GeographicalLine_Intangible;GeographicalPlace_1D;IsogonicLine
Associatives,AudioInfo,8,141,443,ConsonanceAndDissonance;MelodicMotion;MelodicSection;MelodyTypes;ModalFrame;Motif;Ornamentation;Tune
Associatives,InquiryMethods,8,141,724,AuthenticationEvent;EmailAuthentication;Evidence;Testimony;Verification;VerificationOfCredit;VerificationOfEmployment;VerificationOfTruth
BiologicalChemistry,FoodDrink,8,1622,1932,Aspartame;Chitosan;Flour;Glucosamine;MonosodiumGlutamate;RiceFlour;Sugar_Table;WheatFlour
Concepts,LivingThings,8,313,11916,2009FluPandemic;AlcoholAbuse;EpidemicTyphus_NAmerica;FluPandemic;MethMouth;PrehistoricLife;ShipsLostWithAllHands;SpiderBite
ConceptualSystems,ContextualAttributes,8,1408,1504,ElectricPowerTransmissionSystem;ElectricalOutlet;ElectricalPlug;Equator_Celestial;Fratire;HighVoltageDirectCurrent;PowerLine;TelephonePlug
ConceptualSystems,IntrinsicAttributes,8,1408,256,Beauty;Black_EyeColor;Blue_EyeColor;Brown_EyeColor;Gray_EyeColor;Green_EyeColor;Hazel_EyeColor;Instinct
EventTypes,WrittenInfo,8,3210,1919,Command;EnglishSpelling;GeorgianCalligraphy;GrammarChecker;MetaphorsReferringToWarAndViolence;NonstandardSpelling;Spelling;SpellingCompetition
FoodDrink,KnowledgeDomains,8,1932,4841,AmanitaRegalis;Coriander;FlyAgaricMushroom;Garlic;GarlicClove;HallucinogenicMushroom;Kava;PsilocybinMushroom
FoodDrink,Methodeutic,8,1932,5321,AmanitaRegalis;Coriander;FlyAgaricMushroom;Garlic;GarlicClove;HallucinogenicMushroom;Kava;PsilocybinMushroom
Indexes,KnowledgeDomains,8,137,4841,Crucifix_ChristianSymbol;FIPSStateCode;FIPSState_CountyCode;Geocode;InternationalPostalCode;Logo;PostalCode;ZipCode
KnowledgeDomains,Persons,8,4841,3668,BrainwashingTheoryProponent;ExtraterrestrialPerson;Jomsvikings;Martian;Norman;Varangians;Viking;Viking_CultureType
KnowledgeDomains,ProtistsFungus,8,4841,281,AmanitaRegalis;DownyMildew;FlyAgaricMushroom;Fungus_Generic;HallucinogenicMushroom;Mildew;PowderyMildew;PsilocybinMushroom
Methodeutic,Persons,8,5321,3668,BrainwashingTheoryProponent;ExtraterrestrialPerson;Jomsvikings;Martian;Norman;Varangians;Viking;Viking_CultureType
Methodeutic,ProtistsFungus,8,5321,281,AmanitaRegalis;DownyMildew;FlyAgaricMushroom;Fungus_Generic;HallucinogenicMushroom;Mildew;PowderyMildew;PsilocybinMushroom
NaturalSubstances,Predications,8,1209,10601,Guyot;IsotopeOfUranium;OuterSpace;ReprocessedUranium;Seamount;Uranium;Uranium_Enriched;WeaponsGradeUranium
ProtistsFungus,Systems,8,281,12666,AmanitaRegalis;DownyMildew;FlyAgaricMushroom;Fungus_Generic;HallucinogenicMushroom;Mildew;PowderyMildew;PsilocybinMushroom
