id,object,relatesTo
rc:HumanResidenceArea,rc:HumanlyOccupiedSpatialObject,kko:relatesToLocationPlace
rc:HydrocarbonReservoir,rc:Layer,kko:relatesToForms
rc:Hydrology,rc:Water,kko:relatesToNaturalSubstances
rc:IceFloe,rc:WaterResources,kko:relatesToConcepts
rc:IllegalDrugActivity,rc:DangerousActivity,kko:relatesToConcepts
rc:Immunology,rc:ImmuneSystem,kko:relatesToAnimals
rc:Immunotoxin,rc:ImmuneSystem,kko:relatesToAnimals
rc:IncurringAnInjury,rc:EventCausingDistressOrPain,kko:relatesToConcepts
rc:IndependentOrganization,rc:IndependentThing,kko:relatesToConcepts
rc:IndexNumber,rc:UnitOfMeasureConcept,kko:relatesToConcepts
rc:Individualism,rc:IndependentThing,kko:relatesToConcepts
rc:IndustrialSupply,rc:Supplies,kko:relatesToCopulativeRelations
rc:InformationBearingWavePropagation,rc:InformationTransferPhysicalEvent,kko:relatesToInformation
rc:InorganicCompound,rc:MolecularStuff,kko:relatesToManifestations
rc:InstantaneousEvent,rc:TemporallyContinuousThing,kko:relatesToConcepts
rc:IntrinsicStateChangeEvent,rc:IntrinsicStateChangeAttribute,kko:relatesToAdjunctualAttributes
rc:IvoryWorkOfArt,rc:Ivory,kko:relatesToOrganicMatter
rc:Jellyfish,rc:Radiata,kko:relatesToShapes
rc:KeyboardLayout,rc:Arrangement,kko:relatesToConcepts
rc:KosherFood,rc:ThingConformingToKosherDietaryLaws,kko:relatesToArtifacts
rc:LaboratorySupply,rc:Supplies,kko:relatesToCopulativeRelations
rc:LandscapeType,rc:CartographicFeatureType,kko:relatesToKnowledgeDomains
rc:Language,rc:Languages,kko:relatesToInformation
rc:LawnChair_PieceOfFurniture,rc:Collapsible,kko:relatesToForms
rc:LearnedActivityType,rc:Learning,kko:relatesToLearningProcesses
rc:LibraryOfCongressClassification,rc:USLibraryOfCongress_Organization,kko:relatesToOrganizations
rc:LifeThreateningCondition,rc:DangerousSituation,kko:relatesToConcepts
rc:LinkageSystem,rc:CustomarySystemOfLinks,kko:relatesToShapes
rc:LongitudeLine,rc:Semiellipse,kko:relatesToShapes
rc:LowEarthOrbit,rc:OrbitalPathClass,kko:relatesToShapes
rc:MaleHuman,rc:PersonalQuantity,kko:relatesToForms
rc:ManMadeHazard,rc:DangerousSituation,kko:relatesToConcepts
rc:Marchantiophyta,rc:Spore_PlantLifeStage,kko:relatesToLivingThings
rc:MarineAnimal,rc:MarineOrganism,kko:relatesToLivingThings
rc:Measurement,rc:MeasuringSomething,kko:relatesToActionTypes
rc:MeasuringDevice,rc:UnitOfMeasureConcept,kko:relatesToConcepts
rc:MeasuringSomething,rc:UnitOfMeasureConcept,kko:relatesToConcepts
rc:MediaProduct,rc:Media,kko:relatesToInformation
rc:MediaProduct,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:MedicalProcedureOrEvent,rc:Situation_Localized,kko:relatesToSituationTypes
rc:MedicalSupply,rc:Supplies,kko:relatesToCopulativeRelations
rc:MedicalTreatmentEvent,rc:TreatmentProcedure,kko:relatesToEventTypes
rc:MediumEarthOrbit,rc:OrbitalPathClass,kko:relatesToShapes
rc:MentalQuantity,rc:MentalAttribute,kko:relatesToIntrinsicAttributes
rc:Microbiology,rc:Virus,kko:relatesToLivingThings
rc:Microorganism,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:Mineral,rc:Mineralogy,kko:relatesToKnowledgeDomains
rc:MineralPile,rc:Pile,kko:relatesToConcepts
rc:Mixture,rc:Mixture_Generic,kko:relatesToForms
rc:ModernMilitaryOrganization,rc:MilitaryOrganizationConcept,kko:relatesToConcepts
rc:Monarchy_Topics,rc:Monarchy,kko:relatesToOrganizations
rc:Moxibustion,rc:Alternative,kko:relatesToConcepts
rc:Music,rc:SoundInformationBearingThing,kko:relatesToNaturalPhenomena
rc:MusicAward,rc:AwardAttribute,kko:relatesToAdjunctualAttributes
rc:MusicLooping,rc:Music,kko:relatesToAudioInfo
rc:MusicTypeByGenre,rc:ConventionalClassificationType,kko:relatesToCopulativeRelations
rc:Nanotube,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:Narrative,rc:TemporalStuffType,kko:relatesToConcepts
rc:NationalTreasure,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:NaturalHazard,rc:DangerousSituation,kko:relatesToConcepts
rc:NaturalMaterial,rc:Nature,kko:relatesToConcepts
rc:NaturalResource,rc:Environment_Generic,kko:relatesToShapes
rc:NaturalResourceType,rc:TemporalStuffType,kko:relatesToConcepts
rc:NeurologicalDisorder,rc:Neurology,kko:relatesToKnowledgeDomains
rc:NeurologicalDisorder,rc:Neuropsychology,kko:relatesToKnowledgeDomains
rc:NonAspectualQuantity,rc:NonAspectualAttribute,kko:relatesToIntrinsicAttributes
rc:Nose,rc:ChemoReceptiveSensor,kko:relatesToTopicsCategories
rc:ObjectTypes,rc:TemporalStuffType,kko:relatesToConcepts
rc:Omnivore,rc:Heterotroph,kko:relatesToLivingThings
rc:OrganicChemicalObject,rc:ChemicalObject,kko:relatesToChemistry
rc:OrganicCompound,rc:MolecularStuff,kko:relatesToManifestations
rc:OrganicCompound,rc:OrganicMaterial,kko:relatesToOrganicMatter
rc:Organism,rc:Biology,kko:relatesToKnowledgeDomains
rc:Organism,rc:Life,kko:relatesToLivingThings
rc:OrganismPart,rc:BiologicalParts,kko:relatesToDirectRelations
rc:OrganismPart,rc:Parts,kko:relatesToDirectRelations
rc:OrganismPart,rc:PhysicalPartOfObject,kko:relatesToManifestations
rc:OrganismTypes,rc:ConventionalClassificationType,kko:relatesToCopulativeRelations
rc:OutdoorLocation,rc:Outdoors,kko:relatesToLocationPlace
rc:Paint,rc:Paint_Generic,kko:relatesToForms
rc:Parts,rc:Mereology,kko:relatesToKnowledgeDomains
rc:Parts_Topic,rc:Parts,kko:relatesToDirectRelations
rc:PathArtifactSystem,rc:CustomarySystemOfLinks,kko:relatesToShapes
rc:PavedPath,rc:Paved,kko:relatesToForms
rc:PersistenceDistribution,rc:QualificationAttribute,kko:relatesToIntrinsicAttributes
rc:Person,rc:Sentient,kko:relatesToManifestations
rc:PersonTypeByEthnicity,rc:Peoples,kko:relatesToSociety
rc:PersonTypeByMaritalStatus,rc:ExtrinsicAspect,kko:relatesToContextualAttributes
rc:PersonTypeByNationality,rc:Peoples,kko:relatesToSociety
rc:PersonTypeByOccupation,rc:ConventionalClassificationType,kko:relatesToCopulativeRelations
rc:PersonTypes,rc:ConventionalClassificationType,kko:relatesToCopulativeRelations
rc:PersonTypes,rc:PersonalQuantity,kko:relatesToForms
