id,object,relatesTo
SensoryQuantity,SensoryAttribute,relatesToIntrinsicAttributes
Time_Quantity,TimeAttributes,relatesToIntrinsicAttributes
TimeInterval,TimeAttributes,relatesToIntrinsicAttributes
TimeParameter,TimeAttributes,relatesToIntrinsicAttributes
TravelClass,TravelAttribute,relatesToIntrinsicAttributes
CondensedMatter,Physics,relatesToKnowledgeDomains
EcologicalRegion,Biogeography,relatesToKnowledgeDomains
Fungus,Fungus_Generic,relatesToKnowledgeDomains
LandscapeType,CartographicFeatureType,relatesToKnowledgeDomains
Mineral,Mineralogy,relatesToKnowledgeDomains
NeurologicalDisorder,Neurology,relatesToKnowledgeDomains
NeurologicalDisorder,Neuropsychology,relatesToKnowledgeDomains
OrganicChemistry,OrganicChemistryFOS,relatesToKnowledgeDomains
Organism,Biology,relatesToKnowledgeDomains
Parts,Mereology,relatesToKnowledgeDomains
ToxicSubstance,Toxicology,relatesToKnowledgeDomains
LearnedActivityType,Learning,relatesToLearningProcesses
Algae,AquaticOrganism,relatesToLivingThings
AnimalBLO,BiologicalLivingObject,relatesToLivingThings
AnimalBLO,KingdomAnimalia,relatesToLivingThings
Animalia,Heterotroph,relatesToLivingThings
Animalia,MulticellularOrganism,relatesToLivingThings
AnucleatedCell,ProkaryoticCell,relatesToLivingThings
AquaticAnimal,AquaticOrganism,relatesToLivingThings
AquaticPlant,AquaticOrganism,relatesToLivingThings
ArchaeaBLO,KingdomArchaea,relatesToLivingThings
Ascomycota,MulticellularOrganism,relatesToLivingThings
AsexualBLO,BiologicalLivingObject,relatesToLivingThings
Autotroph_Bacterium,Autotroph,relatesToLivingThings
Bacteria,Microorganism,relatesToLivingThings
BacteriaBLO,KingdomBacteria,relatesToLivingThings
BacterialBioAgent,LivingBiologicalAgent,relatesToLivingThings
Basidiomycota,MulticellularOrganism,relatesToLivingThings
BiochemicallyHarmfulSubstance,BiologicalAgentType,relatesToLivingThings
BloodPressure,Blood,relatesToLivingThings
Carnivore,OrganismTypeByNutrition,relatesToLivingThings
Dictyostelida,MulticellularOrganism,relatesToLivingThings
DiploidCell,Protozoan,relatesToLivingThings
Diseases,InfectiousAgents,relatesToLivingThings
FungalBioAgent,LivingBiologicalAgent,relatesToLivingThings
Fungus,Heterotroph,relatesToLivingThings
FungusBLO,BiologicalLivingObject,relatesToLivingThings
FungusBLO,KingdomFungi,relatesToLivingThings
Marchantiophyta,Spore_PlantLifeStage,relatesToLivingThings
MarineAnimal,MarineOrganism,relatesToLivingThings
Microbiology,Virus,relatesToLivingThings
Omnivore,Heterotroph,relatesToLivingThings
Organism,Life,relatesToLivingThings
Plantae,MulticellularOrganism,relatesToLivingThings
PlantBLO,BiologicalLivingObject,relatesToLivingThings
PlantBLO,KingdomPlantae,relatesToLivingThings
ProkaryoticCell,MoneraKingdom,relatesToLivingThings
Protista,Microorganism,relatesToLivingThings
ProtistBLO,BiologicalLivingObject,relatesToLivingThings
ProtistBLO,KingdomProtista,relatesToLivingThings
RhizariaBLO,KingdomRhizaria,relatesToLivingThings
Seaweed,MarineOrganism,relatesToLivingThings
SingleCellOrganism,Microorganism,relatesToLivingThings
SomaticCell,Protozoan,relatesToLivingThings
StramenopilesBLO,KingdomStramenopiles,relatesToLivingThings
TerrestrialAnimal,TerrestrialOrganism,relatesToLivingThings
TerrestrialPlant,TerrestrialOrganism,relatesToLivingThings
Virology,Virus,relatesToLivingThings
Virus,Microorganism,relatesToLivingThings
Yeast,Microorganism,relatesToLivingThings
HumanOccupationConstruct,HumanlyOccupiedSpatialObject,relatesToLocationPlace
HumanResidenceArea,HumanlyOccupiedSpatialObject,relatesToLocationPlace
OutdoorLocation,Outdoors,relatesToLocationPlace
TransportationDevice,HumanlyOccupiedSpatialObject,relatesToLocationPlace
Animal,PerceptualAgent_Embodied,relatesToManifestations
BiologicalLivingObject,BiologicalMatter,relatesToManifestations
BiologicalLivingObject,NaturalTangibleStuff,relatesToManifestations
ChemicalObject,MolecularStuff,relatesToManifestations
InorganicCompound,MolecularStuff,relatesToManifestations
OrganicCompound,MolecularStuff,relatesToManifestations
OrganismPart,PhysicalPartOfObject,relatesToManifestations
Person,Sentient,relatesToManifestations
PolymerMolecule,MolecularStuff,relatesToManifestations
BodyOfWater_Area,Water,relatesToNaturalMatter
BodyOfWater_Intermittent,Water,relatesToNaturalMatter
WaterSurfacePath,Water,relatesToNaturalMatter
Music,SoundInformationBearingThing,relatesToNaturalPhenomena
VisualImage,VisibleLight,relatesToNaturalPhenomena
AmericanWaterLandmark,Water,relatesToNaturalSubstances
Hydrology,Water,relatesToNaturalSubstances
PreciousMetal,Metal,relatesToNaturalSubstances
WaterIndustry,Water,relatesToNaturalSubstances
