frag_new,frag_old,qid,p,version_status,old_qid,id_type
AmericanBasketballAssociationSeason,,Q8243050,owl:equivalentClass,ADDED,,rc
AmericanEnglishWord,,Q8243320,owl:equivalentClass,ADDED,,rc
AmericanFootballByCity,,Q8245656,owl:equivalentClass,ADDED,,rc
AmericanFootballCompetition,,Q121484394,owl:equivalentClass,ADDED,,rc
AmericanFootballTerminology,,Q8246086,owl:equivalentClass,ADDED,,rc
AmericanGenealogy,,Q8246175,owl:equivalentClass,ADDED,,rc
AmericanHockeyLeagueSeason,,Q8243452,owl:equivalentClass,ADDED,,rc
AmericanHockeyLeagueUniform,,Q8243453,owl:equivalentClass,ADDED,,rc
AmericanLeagueChampionSeason,,Q8243626,owl:equivalentClass,ADDED,,rc
AmericanPeopleOfArabDescent,,Q8247098,owl:equivalentClass,ADDED,,rc
AmericanPeopleOfHausaDescent,,Q8247221,owl:equivalentClass,ADDED,,rc
AmericanPhraseology,,Q8247493,owl:equivalentClass,ADDED,,rc
AmericanRodeo,,Q8247877,owl:equivalentClass,ADDED,,rc
AmericanSatire,,Q8247908,owl:equivalentClass,ADDED,,rc
AmericiumCompound,,Q8878395,owl:equivalentClass,ADDED,,rc
AmideIon,,Q4026895,owl:equivalentClass,ADDED,,rc
Amietophrynus,,Q584826,owl:equivalentClass,ADDED,,rc
AminoGroup,,Q1210630,owl:equivalentClass,ADDED,,rc
Aminopenicillin,,Q471724,owl:equivalentClass,ADDED,,rc
AmishInCanada,,Q16822028,owl:equivalentClass,ADDED,,rc
AmishInTheUnitedStates,,Q16822028,owl:equivalentClass,ADDED,,rc
Ammodramus,,Q695679,owl:equivalentClass,ADDED,,rc
Amphionidacea,,Q13429442,owl:equivalentClass,ADDED,,rc
Amphioxiformes,,Q1156226,owl:equivalentClass,ADDED,,rc
Amphitretidae,,Q15221029,owl:equivalentClass,ADDED,,rc
Amphiumidae,,Q11841073,owl:equivalentClass,ADDED,,rc
Amphizoidae,,Q15732606,owl:equivalentClass,ADDED,,rc
AmputationRetractor,,Q1618837,owl:equivalentClass,ADDED,,rc
AmylaseInducedFermentation,,Q25327159,owl:equivalentClass,ADDED,,rc
Anabantidae,,Q797543,owl:equivalentClass,ADDED,,rc
Anabantiformes,,Q1744606,owl:equivalentClass,ADDED,,rc
Anacardiaceae,,Q156589,owl:equivalentClass,ADDED,,rc
Anachronism,,Q189203,owl:equivalentClass,ADDED,,rc
AnalysisOfCollectiveDecisionMaking,,Q8250007,owl:equivalentClass,ADDED,,rc
AnalyticalReagent,,Q8250029,owl:equivalentClass,ADDED,,rc
AnarchistCulture,,Q6436310,owl:equivalentClass,ADDED,,rc
AnarchistFederation,,Q20170650,owl:equivalentClass,ADDED,,rc
AnarchistMovement,,Q6436291,owl:equivalentClass,ADDED,,rc
AnatoliaBeyliksArchitecture,,Q8250243,owl:equivalentClass,ADDED,,rc
AnatolianInscription,,Q8250254,owl:equivalentClass,ADDED,,rc
AnatomicalPreservation,,Q8250267,owl:equivalentClass,ADDED,,rc
AnatomicalSimulation,,Q8250262,owl:equivalentClass,ADDED,,rc
