s,p,o
rc:DeliveryServiceEvent,kko:superClassOf,http://schema.org/OnSitePickup
rc:DeliveryServiceEvent,kko:superClassOf,http://schema.org/ParcelDelivery
rc:DeliveryServiceEvent,kko:superClassOf,http://schema.org/ParcelService
rc:DeliveryServiceEvent,rdfs:subClassOf,http://schema.org/DeliveryEvent
rc:Demanding_CommunicationAct,owl:equivalentClass,http://schema.org/Demand
rc:DentistsOffice,kko:superClassOf,http://schema.org/Dentist
rc:DepartmentStore,owl:equivalentClass,http://schema.org/DepartmentStore
rc:Dermatology,owl:equivalentClass,http://schema.org/Dermatology
rc:DesiringThat,rdfs:subClassOf,http://schema.org/WantAction
rc:DietProgram,kko:superClassOf,http://schema.org/RestrictedDiet
rc:DietProgram,owl:equivalentClass,http://schema.org/Diet
rc:DietarySupplement,owl:equivalentClass,http://schema.org/DietarySupplement
rc:DirectDepositAccount,owl:equivalentClass,http://schema.org/DepositAccount
rc:Disapproving_CommunicationAct,rdfs:subClassOf,http://schema.org/DisagreeAction
rc:DiscontinuingAnActivity,kko:superClassOf,http://schema.org/UnRegisterAction
rc:DiscoveringSomething,owl:equivalentClass,http://schema.org/DiscoverAction
rc:Dislike,owl:equivalentClass,http://schema.org/DislikeAction
rc:Distance,owl:equivalentClass,http://schema.org/Distance
rc:Distillery,owl:equivalentClass,http://schema.org/Distillery
rc:Doctor_Medical,kko:superClassOf,http://schema.org/MedicalSpecialty
rc:Doctor_Medical,owl:equivalentClass,http://schema.org/Physician
rc:Document,kko:superClassOf,http://schema.org/DigitalDocument
rc:Dosage,kko:superClassOf,http://schema.org/DrugStrength
rc:DoseOfDrug,kko:superClassOf,http://schema.org/DoseSchedule
rc:DoseOfDrug,kko:superClassOf,http://schema.org/MaximumDoseSchedule
rc:DoseOfDrug,kko:superClassOf,http://schema.org/RecommendedDoseSchedule
rc:DoseOfDrug,kko:superClassOf,http://schema.org/ReportedDoseSchedule
rc:DownloadingAFile,kko:superClassOf,http://schema.org/DataDownload
rc:DownloadingAFile,rdfs:subClassOf,http://schema.org/DownloadAction
rc:DramaticPerformance,rdfs:subClassOf,http://schema.org/TheaterEvent
rc:Drawing_Depicting,owl:equivalentClass,http://schema.org/DrawAction
rc:DrinkingEvent,owl:equivalentClass,http://schema.org/DrinkAction
rc:DrugCost,owl:equivalentClass,http://schema.org/DrugCost
rc:DrugPregnancyType,kko:superClassOf,http://schema.org/DrugPregnancyCategory
rc:DrugSubstance,kko:superClassOf,http://schema.org/DrugClass
rc:DrugSubstance,kko:superClassOf,http://schema.org/DrugLegalStatus
rc:DrugSubstance,kko:superClassOf,http://schema.org/DrugPrescriptionStatus
rc:DryCleaningOrLaundry,owl:equivalentClass,http://schema.org/DryCleaningOrLaundry
rc:EBook,owl:equivalentClass,http://schema.org/EBook
rc:EMailCommunication,kko:superClassOf,http://schema.org/EmailMessage
rc:Ear,owl:equivalentClass,http://schema.org/Ear
rc:EatingEvent,owl:equivalentClass,http://schema.org/EatAction
rc:EconomicAction,kko:superClassOf,http://schema.org/TradeAction
rc:EditionOfCWSeries_Periodic,kko:superClassOf,http://schema.org/PublicationVolume
rc:Education,kko:superClassOf,http://schema.org/EducationEvent
rc:EducationalInstitution,owl:equivalentClass,http://schema.org/School
rc:EducationalOrganization,owl:equivalentClass,http://schema.org/EducationalOrganization
rc:Electrician,owl:equivalentClass,http://schema.org/Electrician
rc:ElectronicsStore,owl:equivalentClass,http://schema.org/ElectronicsStore
rc:ElementarySchool,owl:equivalentClass,http://schema.org/ElementarySchool
rc:EmbassyBuilding,owl:equivalentClass,http://schema.org/Embassy
rc:Emergency,owl:equivalentClass,http://schema.org/Emergency
rc:EmergencyResponse,owl:equivalentClass,http://schema.org/EmergencyService
rc:EmergencyServicesOrganization,owl:equivalentClass,http://schema.org/EmergencyService
rc:EmployeeTypeByWorkStatus,rdfs:subClassOf,http://schema.org/EmployeeRole
rc:EmploymentAgency,owl:equivalentClass,http://schema.org/EmploymentAgency
rc:Endorsing_CommunicationAct,owl:equivalentClass,http://schema.org/EndorseAction
rc:EnergyQuantity,kko:superClassOf,http://schema.org/Energy
rc:EntertainmentPerformer,kko:superClassOf,http://schema.org/PerformingGroup
rc:EntertainmentServiceCompany,rdfs:subClassOf,http://schema.org/EntertainmentBusiness
rc:EntryPointsFn,owl:equivalentClass,http://schema.org/EntryPoint
rc:Evaluating,owl:equivalentClass,http://schema.org/ReviewAction
rc:Evaluating,rdfs:subClassOf,http://schema.org/AssessAction
rc:Event_Localized,kko:superClassOf,http://schema.org/EventVenue
rc:Event_Localized,kko:superClassOf,http://schema.org/OnDemandEvent
rc:ExerciseRegimen,owl:equivalentClass,http://schema.org/ExercisePlan
rc:Exercising,owl:equivalentClass,http://schema.org/ExerciseAction
rc:Exhibit,owl:equivalentClass,http://schema.org/ExhibitionEvent
rc:ExpositoryArticle,kko:superClassOf,http://schema.org/TechArticle
rc:ExpropriatingSomething,kko:superClassOf,http://schema.org/TakeAction
rc:Eye,owl:equivalentClass,http://schema.org/Eye
rc:FastFoodRestaurant_Organization,owl:equivalentClass,http://schema.org/FastFoodRestaurant
rc:Festival,owl:equivalentClass,http://schema.org/Festival
rc:FieldOfStudy,kko:superClassOf,http://schema.org/Specialty
rc:FilePermission,kko:superClassOf,http://schema.org/DigitalDocumentPermission
rc:FilePermission,kko:superClassOf,http://schema.org/DigitalDocumentPermissionType
rc:FilmingAVisualImage,owl:equivalentClass,http://schema.org/FilmAction
rc:FinancialCompany,kko:superClassOf,http://schema.org/PaymentService
rc:FinancialOrganization,kko:superClassOf,http://schema.org/FinancialService
rc:FindingAPhysicalObject,rdfs:subClassOf,http://schema.org/FindAction
rc:FireStation,owl:equivalentClass,http://schema.org/FireStation
rc:FirstOrderAdministrativeDivision,owl:equivalentClass,http://schema.org/State
rc:Flexibility,owl:equivalentClass,http://schema.org/Flexibility
rc:FloristShop,owl:equivalentClass,http://schema.org/Florist
rc:Following,owl:equivalentClass,http://schema.org/FollowAction
rc:FoodEvent,owl:equivalentClass,http://schema.org/FoodEvent
rc:FoodServiceOrganization,kko:superClassOf,http://schema.org/FoodService
