kbpedia_id,s,p,o,
http://kbpedia.org/kko/rc/LakeCountyCalifornia,LakeCountyCalifornia,owl:equivalentClass,http://www.wikidata.org/entity/Q156361,Q156361
http://kbpedia.org/kko/rc/LakeErie,LakeErie,owl:equivalentClass,http://www.wikidata.org/entity/Q5492,Q5492
http://kbpedia.org/kko/rc/LakeErieCircleTour,LakeErieCircleTour,owl:equivalentClass,http://www.wikidata.org/entity/Q8580207,Q8580207
http://kbpedia.org/kko/rc/LakeGeneva,LakeGeneva,owl:equivalentClass,http://www.wikidata.org/entity/Q6403,Q6403
http://kbpedia.org/kko/rc/LakeGeorge,LakeGeorge,owl:equivalentClass,http://www.wikidata.org/entity/Q1495651,Q1495651
http://kbpedia.org/kko/rc/LakeGroup,LakeGroup,owl:equivalentClass,http://www.wikidata.org/entity/Q5926864,Q5926864
http://kbpedia.org/kko/rc/LakeHavasu,LakeHavasu,owl:equivalentClass,http://www.wikidata.org/entity/Q451522,Q451522
http://kbpedia.org/kko/rc/LakeHongze,LakeHongze,owl:equivalentClass,http://www.wikidata.org/entity/Q1154914,Q1154914
http://kbpedia.org/kko/rc/LakeHuron,LakeHuron,owl:equivalentClass,http://www.wikidata.org/entity/Q1383,Q1383
http://kbpedia.org/kko/rc/LakeHuronCircleTour,LakeHuronCircleTour,owl:equivalentClass,http://www.wikidata.org/entity/Q8580233,Q8580233
http://kbpedia.org/kko/rc/LakeLBJ,LakeLBJ,owl:equivalentClass,http://www.wikidata.org/entity/Q1800987,Q1800987
http://kbpedia.org/kko/rc/LakeMaggiore,LakeMaggiore,owl:equivalentClass,http://www.wikidata.org/entity/Q14379,Q14379
http://kbpedia.org/kko/rc/LakeMaracaibo,LakeMaracaibo,owl:equivalentClass,http://www.wikidata.org/entity/Q182137,Q182137
http://kbpedia.org/kko/rc/LakeMarbleFalls,LakeMarbleFalls,owl:equivalentClass,http://www.wikidata.org/entity/Q7330007,Q7330007
http://kbpedia.org/kko/rc/LakeMead,LakeMead,owl:equivalentClass,http://www.wikidata.org/entity/Q654515,Q654515
