child-id,parent-id
FaceOfAnimal,AnimalBodyPart
Finger,AnimalBodyPart
FingerInnerSurface,AnimalBodyPart
Fingernail,AnimalBodyPart
FingerPad,AnimalBodyPart
FingerSeries,AnimalBodyPart
Fingertip,AnimalBodyPart
Forearm,AnimalBodyPart
Forehead,AnimalBodyPart
FrontalLobe,AnimalBodyPart
Groin,AnimalBodyPart
HairFollicle,AnimalBodyPart
HandInnerSurface,AnimalBodyPart
Head-AnimalBodyPart,AnimalBodyPart
Heel,AnimalBodyPart
HeelOfPalm,AnimalBodyPart
Hip,AnimalBodyPart
HumanPenis,AnimalBodyPart
Hypothalamus,AnimalBodyPart
Jaw,AnimalBodyPart
Knuckle,AnimalBodyPart
Lip-AnimalBodyPart,AnimalBodyPart
Midbrain,AnimalBodyPart
MobOfHair-Mammal,AnimalBodyPart
MotorCortex,AnimalBodyPart
Mouth,AnimalBodyPart
Nail-AnimalBodyPart,AnimalBodyPart
Neck-AnimalBodyPart,AnimalBodyPart
Nipple-AnimalBodyPart,AnimalBodyPart
OccipitalLobe,AnimalBodyPart
PalmOfHand,AnimalBodyPart
ParietalLobe,AnimalBodyPart
Pubis,AnimalBodyPart
Sclera,AnimalBodyPart
Shin,AnimalBodyPart
Shoulder,AnimalBodyPart
Skin,AnimalBodyPart
SkinPore,AnimalBodyPart
Snout-Animal,AnimalBodyPart
SoleOfFoot,AnimalBodyPart
Stinger,AnimalBodyPart
TemporalLobe,AnimalBodyPart
Thalamus,AnimalBodyPart
Thigh,AnimalBodyPart
ToeSeries,AnimalBodyPart
VentricleOfBrain,AnimalBodyPart
Waist,AnimalBodyPart
Withers,AnimalBodyPart
AdrenalCortex,AnimalBodyRegion
AdrenalMedulla,AnimalBodyRegion
CuneiformBone,AnimalBodyRegion
ExocrineGland,AnimalBodyRegion
Fundus,AnimalBodyRegion
HeartChamber,AnimalBodyRegion
HyalineCartilage,AnimalBodyRegion
Injury-Object,AnimalBodyRegion
InsectBite,AnimalBodyRegion
Lip-AnimalBodyPart,AnimalBodyRegion
Mediastinum,AnimalBodyRegion
MuscleTissue,AnimalBodyRegion
Neuron,AnimalBodyRegion
Septum-Heart,AnimalBodyRegion
UpperLip,AnimalBodyRegion
HumanTypes,Animals
SittingPosture-Slouching,AnimalTypeByPosture
AnalyzingSomething,AnimateActivity
BiologicalEvent,AnimateActivity
FinancingByBorrowing,AnimateActivity
GrowthEvent,AnimateActivity
ImprovementEvent,AnimateActivity
MaintenanceEvent,AnimateActivity
Planning,AnimateActivity
Prosecution,AnimateActivity
Reporting,AnimateActivity
Research,AnimateActivity
ServiceEvent,AnimateActivity
Shipping,AnimateActivity
Training,AnimateActivity
ApplePowerbookComputer,AppleComputer
MacintoshComputer,AppleComputer
MacintoshPlatform,AppleComputer
AdobeComputerProgram,ApplicationProgram
AppleComputerProgram,ApplicationProgram
ArtificialIntelligenceProgram,ApplicationProgram
BusinessComputerProgram,ApplicationProgram
ComputerAidedManufacturingSoftware,ApplicationProgram
ComputerProgramModule,ApplicationProgram
ConceptExtractionTool,ApplicationProgram
DatabaseProgram,ApplicationProgram
EmulatorProgram,ApplicationProgram
EnterpriseResourcePlanningProgram,ApplicationProgram
FileReadingProgram,ApplicationProgram
FinancialSoftware,ApplicationProgram
GISProgram,ApplicationProgram
InformationGatheringProgram,ApplicationProgram
InstantMessengerProgram,ApplicationProgram
InteractiveComputerProgram,ApplicationProgram
InterfaceProgram,ApplicationProgram
MaliciousComputerProgram,ApplicationProgram
MathematicalComputingProgram,ApplicationProgram
MS-DOSApplication,ApplicationProgram
MSWindowsApplication,ApplicationProgram
MultimediaSoftware,ApplicationProgram
NaturalLanguageProgram,ApplicationProgram
NetworkProgram,ApplicationProgram
ProgrammingLanguageImplementation,ApplicationProgram
SecurityProgram,ApplicationProgram
Servlet-ComputerProgram,ApplicationProgram
SoftwareCrackProgram,ApplicationProgram
StatisticalSoftware,ApplicationProgram
SupplyChainManagementSoftware,ApplicationProgram
TelecommunicationsProgram,ApplicationProgram
TerminalEmulatorProgram,ApplicationProgram
UninterruptiblePowerSupplyServiceProgram,ApplicationProgram
WorldWideWebRobot,ApplicationProgram
Protoplasm,AqueousSolution
WolfSpider,Arachnid
RegionTypeBySurfaceGrowth,AreaRegion
AirbusA380,Artifact
AnniversaryFlowerArrangement,Artifact
Antique,Artifact
AntiTankWeapon,Artifact
ANTPQ-37Firefinder,Artifact
ArtObject,Artifact
Audio-Accessory,Artifact
Badminton-Accessory,Artifact
Baseball-Accessory,Artifact
Bed-Accessory,Artifact
Bicycle-Accessory,Artifact
BirthdayFlowerArrangement,Artifact
Boating-Accessory,Artifact
BodyArt,Artifact
Boxing-Accessory,Artifact
BritishCuisine,Artifact
BuddhistGift,Artifact
BuildingMaterial,Artifact
CameraShutter,Artifact
CarAirFreshener,Artifact
CatholicGift,Artifact
CeramicArtifact,Artifact
CharacterToken-Inscribed,Artifact
Chili-Dish,Artifact
ChocolateGiftBasket,Artifact
Chop-MeatCut,Artifact
ChristianGift,Artifact
ChristmasGift,Artifact
CoatingMaterial,Artifact
ConfucianGift,Artifact
CongratulationsFlowerArrangement,Artifact
ConstructionArtifact,Artifact
ConstructionSet,Artifact
ContemporaryArtifact,Artifact
ContinentalCuisine,Artifact
CordlikeArtifact,Artifact
CraftArtifact,Artifact
CrownJewels-England,Artifact
Custom-Made,Artifact
DairyProduct,Artifact
DefenseSystem,Artifact
Deodorant,Artifact
Desk-Accessory,Artifact
DesktopItem,Artifact
DessertGiftBasket,Artifact
Device-OfficeProduct-Stationery,Artifact
Diamond-Gem,Artifact
DisposableProduct,Artifact
DistinctivelyUnitedStatesCuisine,Artifact
DomesticatedAnimalFood,Artifact
EastAsianCuisine,Artifact
ExecutiveGiftBasket,Artifact
FacialCleanser,Artifact
Fireplace-Accessory,Artifact
Football-Accessory,Artifact
Form-StandardizedIBO,Artifact
FrenchCuisine,Artifact
FruitGiftBasket,Artifact
FuneralGift,Artifact
Furniture,Artifact
Game-EquipmentSet,Artifact
GermanCuisine,Artifact
GetWellFlowerArrangement,Artifact
Golf-Accessory,Artifact
GourmetGiftBasket,Artifact
GroundMeat,Artifact
Guacamole,Artifact
Ham,Artifact
HardcopyInformationBearingObject,Artifact
HinduGift,Artifact
Hockey-Accessory,Artifact
HolidayFlowerArrangement,Artifact
HolidayGiftBasket,Artifact
HomemadeArtifact,Artifact
HouseholdFurnishingsMC,Artifact
HumanOccupationConstructObject,Artifact
IndianCuisine,Artifact
IndoorGrill-Accessory,Artifact
IndustrialEquipment,Artifact
InertArtifact,Artifact
InlineSkating-Accessory,Artifact
InnerTube,Artifact
InstrumentalArtifact,Artifact
ItalianCuisine,Artifact
KeyRing,Artifact
Lacrosse-Accessory,Artifact
Landscaping,Artifact
Liposome,Artifact
LiquidTangibleArtifact,Artifact
LitterBox,Artifact
Loin-MeatCut,Artifact
LuggageMarketCategory,Artifact
LuggageSet,Artifact
MartialArts-Accessory,Artifact
MediterraneanCuisine,Artifact
Memorabilia,Artifact
MexicanCuisine,Artifact
MineDeliverySystem,Artifact
Model-Artifact,Artifact
Motorcycle-Accessory,Artifact
MummifiedRemains,Artifact
Nanotube,Artifact
NewArtifact,Artifact
NorthAmericanCuisine,Artifact
Notebook,Artifact
NouvelleCuisine,Artifact
NoveltyMagnet,Artifact
OfficeProduct,Artifact
OutdoorAccessoryMarketCategory,Artifact
PadOfPaper,Artifact
PartyGift,Artifact
PathArtifactSystem,Artifact
PersonalProduct,Artifact
PhysicalDevice,Artifact
Pill,Artifact
Pipe-ConduitArtifact,Artifact
PorkBelly,Artifact
Poultry-WholeBird,Artifact
PoultryBreast,Artifact
PoultryLeg,Artifact
PoultryWing,Artifact
Puppet,Artifact
Puzzle-TangibleProduct,Artifact
Raquetball-Accessory,Artifact
Roast-MeatCut,Artifact
RomanticFlowerArrangement,Artifact
RoseBouquet,Artifact
Rugby-Accessory,Artifact
RuinedArtifact,Artifact
Running-Accessory,Artifact
ScubaDiving-Accessory,Artifact
Sewer,Artifact
Skateboarding-Accessory,Artifact
Snowboarding-Accessory,Artifact
Soccer-Accessory,Artifact
Softball-Accessory,Artifact
SolidTangibleArtifact,Artifact
SomethingToWearPart,Artifact
SouthAsianCuisine,Artifact
Soybean-Foodstuff,Artifact
SpareRib-MeatCut,Artifact
SpringFlowerArrangement,Artifact
Squash-Accessory,Artifact
StationeryProduct,Artifact
Steak-Beef-MeatCut,Artifact
Stockpile,Artifact
Strip-Artifact,Artifact
StuffedToy,Artifact
SummerFlowerArrangement,Artifact
Supplies,Artifact
Surfing-Accessory,Artifact
Tablet,Artifact
TaoistGift,Artifact
Tassel,Artifact
TeamSports-Accessory,Artifact
Telephone-Accessory,Artifact
TelephoneBody,Artifact
ToolSet,Artifact
UsedArtifact,Artifact
Valuable-PersonalPossession,Artifact
VegetarianCuisine,Artifact
VintageArtifact,Artifact
Volleyball-Accessory,Artifact
WarrantyProduct,Artifact
WaxedPaper,Artifact
Weapon,Artifact
Wedding-Accessory,Artifact
Weightlifting-Accessory,Artifact
WinterFlowerArrangement,Artifact
Wireless-Accessory,Artifact
WoodPaneling,Artifact
Woodwork,Artifact
WorkStation,Artifact
ArtificialLighting,Artifact-Intangible
Music,Artifact-Intangible
PhilosophyBeliefs,Artifact-Intangible
SocialBeliefSystem,Artifact-Intangible
Tariff,Artifact-Intangible
TimeInPosition-Served,Artifact-Intangible
UpskirtPicture,Artifact-Intangible
VirtualComputerInstance,Artifact-Intangible
WeaponType,ArtifactType
ArtifactTypeByGenericCategory,ArtifactTypeByGenericCategory
ClothingTypeByFormality,ArtifactTypeByGenericCategory
ContemporaryArtifact,ArtifactTypeByGenericCategory
GenericPharmacyProductType,ArtifactTypeByGenericCategory
Glitter,ArtifactTypeByGenericCategory
HomemadeArtifact,ArtifactTypeByGenericCategory
TonerCartridge,ArtifactTypeByGenericCategory
TypewriterRibbon,ArtifactTypeByGenericCategory
VehicleDriveTrainType,ArtifactTypeByGenericCategory
