child-id,parent-id
Ride,AnimalActivity
SingleDoerAction,AnimalActivity
StingingByAnimal,AnimalActivity
Contorted-BodyPosition,AnimalBLOTypeByPosition
AnimalBodyPartType,AnimalBodyPart
AnimalGamete,AnimalBodyPart
AreolarGlands,AnimalBodyPart
Axon,AnimalBodyPart
Blastula,AnimalBodyPart
CellTypeOfTissueType-NerveTissue,AnimalBodyPart
Cyst,AnimalBodyPart
Cytoskeleton,AnimalBodyPart
Dendrite,AnimalBodyPart
Embryo,AnimalBodyPart
EmbryonicStemCell,AnimalBodyPart
FlatBone,AnimalBodyPart
FurPelt,AnimalBodyPart
HumanPenis,AnimalBodyPart
LacrimalSac,AnimalBodyPart
MonsPubis,AnimalBodyPart
Mouth,AnimalBodyPart
TransverseMyelitis,AnimalBodyPart
Vertebra,AnimalBodyPart
Antenna-AnimalBodyPart,AnimalBodyPart-External
Anus,AnimalBodyPart-External
Armpit,AnimalBodyPart-External
BackOfHand,AnimalBodyPart-External
Beak,AnimalBodyPart-External
Bill-Birds,AnimalBodyPart-External
Buttocks,AnimalBodyPart-External
Chest-BodyPart,AnimalBodyPart-External
Cornea,AnimalBodyPart-External
Digit-AnatomicalPart,AnimalBodyPart-External
ExtrudedBodyPart,AnimalBodyPart-External
Foot-AnimalBodyPart,AnimalBodyPart-External
Forearm,AnimalBodyPart-External
Forehead,AnimalBodyPart-External
Groin,AnimalBodyPart-External
HairFollicle,AnimalBodyPart-External
Head-AnimalBodyPart,AnimalBodyPart-External
Hip,AnimalBodyPart-External
HumanPenis,AnimalBodyPart-External
Limb-AnimalBodyPart,AnimalBodyPart-External
MobOfHair-Mammal,AnimalBodyPart-External
Nail-AnimalBodyPart,AnimalBodyPart-External
Neck-AnimalBodyPart,AnimalBodyPart-External
Nipple-AnimalBodyPart,AnimalBodyPart-External
Pubis,AnimalBodyPart-External
Shin,AnimalBodyPart-External
Shoulder,AnimalBodyPart-External
Skin,AnimalBodyPart-External
SkinPore,AnimalBodyPart-External
Snout-Animal,AnimalBodyPart-External
Stinger,AnimalBodyPart-External
Tail-BodyPart,AnimalBodyPart-External
Thigh,AnimalBodyPart-External
Waist,AnimalBodyPart-External
Withers,AnimalBodyPart-External
AnimalBodyRegionType,AnimalBodyRegion
QuadrupedBodyShaped,AnimalBodyShapeType
SentientAnimal,AnimalCapabilityType
BloodCell,AnimalCell
Egg,AnimalCell
Semen,AnimalCell
Cognition,AnimalCognition
Aquarium,AnimalContainer
Barn,AnimalContainer
LivestockStable,AnimalContainer
AnimalCage,AnimalContainment
AnimalContainer,AnimalContainmentHabitat
FishTrap,AnimalControlTrap
BirdFood,AnimalFeed
DomesticatedAnimalFood,AnimalFeed
ExoticPetFood,AnimalFeed
Feed,AnimalFeed
FishFood,AnimalFeed
Fodder,AnimalFeed
ReptileFood,AnimalFeed
Aquarium,AnimalHabitat
AlligatorHides,AnimalHideSkin
Fur,AnimalHideSkin
Suede,AnimalHideSkin
BoardingATransportationDevice,AnimalLocomotion
Boring-Locomotion,AnimalLocomotion
Brachiating,AnimalLocomotion
Kayaking,AnimalLocomotion
Walking,AnimalLocomotion
Afterbirth,AnimalMaterial
AnimalBodyGas,AnimalMaterial
BodilyFluid,AnimalMaterial
Carcass,AnimalMaterial
Chitin,AnimalMaterial
CoosaMoccasinshell,AnimalMaterial
DeadAnimal,AnimalMaterial
DriedSkin,AnimalMaterial
Eggshell-Stuff,AnimalMaterial
ExcretionSubstance,AnimalMaterial
FurPelt,AnimalMaterial
Leather,AnimalMaterial
MummifiedRemains-Human,AnimalMaterial
PupalContainer,AnimalMaterial
Sheepskin,AnimalMaterial
SolidAnimalMatter,AnimalMaterial
SpiderWeb,AnimalMaterial
WoolCloth,AnimalMaterial
Carriage,AnimalPoweredDevice
Carriage,AnimalPoweredTransport
HorsebackRiding,AnimalPoweredTransport
HorseTack,AnimalPoweredTransport
Animal-HumanFoodSource,AnimalProduct
AnimalHideSkin,AnimalProduct
Blood,AnimalProduct
Chitin,AnimalProduct
CoosaMoccasinshell,AnimalProduct
Eggshell,AnimalProduct
Horn-AnimalBodyPart,AnimalProduct
InsecticideProducts,AnimalProduct
Ivory,AnimalProduct
Manure,AnimalProduct
Milk,AnimalProduct
MouseTrap,AnimalProduct
PesticideProducts,AnimalProduct
SkunkSpray,AnimalProduct
SpiderWeb,AnimalProduct
WoolFiber,AnimalProduct
GreyhoundRacing,AnimalRacing
HorseRacingEvent,AnimalRacing
PigeonRacing,AnimalRacing
SledDogRacingEvent,AnimalRacing
ObjectTypeByTaste,AnimalSensoryQuantity
Odor,AnimalSensoryQuantity
AnimalBodyShapeType,AnimalShapedThing
Radiata,AnimalShapedThing
BloodType,AnimalTissue
Egg,AnimalTissue
ExtracellularMatrix,AnimalTissue
Semen,AnimalTissue
Asleep,AnimalTypeByAlertness
Awake,AnimalTypeByAlertness
Unconscious,AnimalTypeByAlertness
OviparousAnimal,AnimalTypeByBirthType
ViviparousAnimal,AnimalTypeByBirthType
Homeotherm,AnimalTypeByBloodedness
Poikilotherm,AnimalTypeByBloodedness
Inflamed,AnimalTypeByCondition
Injured,AnimalTypeByCondition
Orphan,AnimalTypeByCondition
Unvaccinated-Generic,AnimalTypeByCondition
Vaccinated-Generic,AnimalTypeByCondition
VenomousAnimal,AnimalTypeByDanger
Vermin,AnimalTypeByDanger
BlindAnimal,AnimalTypeByDisability
HearingImpairedAnimal,AnimalTypeByDisability
HumanWithDwarfism,AnimalTypeByDisability
Mute,AnimalTypeByDisability
Paraplegic,AnimalTypeByDisability
Quadriplegic,AnimalTypeByDisability
Animal-HumanFoodSource,AnimalTypeByFood
Carnivore,AnimalTypeByFood
Herbivore,AnimalTypeByFood
Hungry,AnimalTypeByFood
ModeratelyFull,AnimalTypeByFood
Prey,AnimalTypeByFood
Hungry,AnimalTypeByHungerLevel
Starving,AnimalTypeByHungerLevel
Biped,AnimalTypeByLegs
Quadruped,AnimalTypeByLegs
MigratoryAnimal,AnimalTypeByLifeHabit
NocturnalAnimal,AnimalTypeByLifeHabit
AdultAnimal,AnimalTypeByMaturity
JuvenileAnimal,AnimalTypeByMaturity
SexuallyMature,AnimalTypeByMaturity
AthleticPhysicalBuild,AnimalTypeByPhysicalBuild
AveragePhysicalBuild,AnimalTypeByPhysicalBuild
CurvaceousPhysicalBuild,AnimalTypeByPhysicalBuild
FatPhysicalBuild,AnimalTypeByPhysicalBuild
ShortPhysicalBuild,AnimalTypeByPhysicalBuild
SkinnyPhysicalBuild,AnimalTypeByPhysicalBuild
SlightPhysicalBuild,AnimalTypeByPhysicalBuild
StockyPhysicalBuild,AnimalTypeByPhysicalBuild
TallPhysicalBuild,AnimalTypeByPhysicalBuild
AlbinoAnimal,AnimalTypeByPhysiologicalFeature
ScaledAnimal,AnimalTypeByPhysiologicalFeature
WithoutHair,AnimalTypeByPhysiologicalFeature
CrouchingPosture,AnimalTypeByPosture
HandstandPosture,AnimalTypeByPosture
KneelingPosture,AnimalTypeByPosture
PronePosture,AnimalTypeByPosture
RecliningPosture,AnimalTypeByPosture
SittingPosture,AnimalTypeByPosture
SittingPosture-Slouching,AnimalTypeByPosture
StandingOnTipToesPosture,AnimalTypeByPosture
UprightPosture,AnimalTypeByPosture
AsexualBLO,AnimalTypeBySex
FemaleAnimal,AnimalTypeBySex
Hermaphrodite,AnimalTypeBySex
MaleAnimal,AnimalTypeBySex
SexuallyMature,AnimalTypeBySex
CaptiveAnimal,AnimalTypeByWildness
