rc,alt-labels
Accuracy,ISO 5725||Accuracy vs. precision||Precision vs. accuracy||Accuracy||Accuracy & precision||Precision and accuracy||Accuracy and precsion||Accuracy (trueness and precision)||Measurement accuracy||Inaccuracy and imprecision||Test inaccuracy||Trueness||Precion and accuracy||Inaccuracy||Accurate||Accuracy versus Precision
Acebrochol,C29H48Br2O2
Acebutolol,C18H28N2O4||Monitan||Neptal||Prent||Sectral||ATC code C07AB04||ATCvet code QC07AB04||Acebutolol Hydrochloride||Acebutolol hydrochloride||Acebutolol HCl
ACEInhibitor,Angiotensin converting enzyme inhibitors||Ace inhibitor||ACE Inhibitor||ACE inhibitors||ACE-I||ACE-inhibitor||Acei||ACEI||Angiotensin converting enzyme inhibitor||Angiotensin I-Converting Enzyme Inhibitors||Angiotensin-converting enzyme (ACE) inhibitors||Angiotensin-Converting Enzyme Antagonists||Angiotensin-converting enzyme inhibitor||Angiotensin-converting enzyme inhibitors||Antagonists||Angiotensin-Converting Enzyme||Antagonists||Kininase II||Inhibitors||ACE||Inhibitors||Angiotensin-Converting Enzyme||Inhibitors||Kininase II||Kininase II Antagonists||Kininase II Inhibitors
AceramarcaGracileOpossum,Aceramarca gracile mouse opossum||Gracilinanus aceramarcae
AcerComputer,Acer||Acer Incorporated
Acetabulum,Perforate Acetabulum||Perforated acetabulum||Cotyloid cavity||Roof of acetabulum||Hip socket||Acetabula||Acetabular||Acetabuli
Acetamide,Acetamide||ethanamide||methylformamide
Acetaminophen,Tylenol PM||Parahexal||Panodil||Tylenol with codeine||Dolex||Acamol||Adol||Avcamol||Tylenol||Acetaminophen||Abenol||Abensanil||Accu-Tap||Aceta Elixir||Aceta Tablets||Acetagesic||Acetalgin||Actamin||Actimol||Algotropyl||Alpiny||Alpinyl||Amadil||Aminofen||Anacin-3||Anaflon||Anapap||Anelix||Anhiba||Apacet||Apadon||Apamid||Apamide||Atasol||Banesin||Bayer Select||Bickie-mol||Butapap||Captin||Cetadol||Clixodyne||Co-Gesic||Conacetol||Dapa X-S||Datril||Dimindol||Dirox||Disprol||Dolene AP-65||Doliprane||Dolprone||Drixoral Plus||Dularin||Dymadon||Dypap||Elixodyne||Enelfa||Eneril||Eu-Med||Exdol||Febridol||Febrilix||Febrinol||Febro-Gesic||Febrolin||Fendon||Feverall||Fevor||Finimal||Genapap||Genebs||Homoolan||Hy-Phen||Injectapap||Janupap||Korum||Lestemp||Liquagesic||Liquiprin||Lonarid||Lyteca||Multin||Napafen||Napap||Naprinol||Nealgyl||Nebs||Neopap||Neotrend||Nobedon||Oraphen-PD||Ortensan||Pacemo||Painex||Paldesic||Panaleve||Panasorb||Panets||Panex||Panofen||Papa-Deine||Paraspen||Parelan||Parmol||Pasolind||Pasolind N||Pedric||Phenaphen Caplets||Phendon||Propacet 100||Proval||Pyrinazine||Redutemp||Rivalgyl||Robigesic||Rounox||SK-Apap||Salzone||Sedapap||Servigesic||Snaplets-FR||St. Joseph Fever Reducer||Suppap||Synalgos-Dc-A||Tabalgin||Tapanol||Tapar||Temlo||Tempanal||Tencon||Tibizide||Tisin||Tisiodrazida||Tizide||Tralgon||Triaprin||Tussapap||Tycolet||Valadol||Valgesic||Valorin||Valorin Extra||Wygesic||Acetominophin||Paracet||Paradote||Perfalgan||Hedex||Acephen||Arthrolur||Becetamol||Dololur||Influbene||Seranex||Zolben||Dafalgan||FeverAll||Alvedon||Paracetam||ATC code N02BE01||ATCvet code QN02BE01||Tylenol cold||Acetamenophan||Paracetamolum||Panocod||Panadol||Calpol||Paracetomol||Perdolan||Aceteminophen||Aceteminophin||Paracetemol||Neo-Kiddielets||Acetominophen||Acetamenophen||Acetamanophen||Acetamenophin||Paracetimol||Dexamol||Acetaminofen||Ofirmev
Acetate,C2H3O2||CH3COO-||CH3COO−||CH3COO||Acetate ion||Ch3co2||Ethanoate||Acetates
AcetateIon,acetate||ethanoate||ACETATE-ION||CH3‒COO−||Ethanoat
AceticAcid,AcOH||Acetic Acid||Acetic||HAc||ATC code G01AD02||ATC code S02AA10||ATCvet code QG01AD02||ATCvet code QS02AA10||Acetic acids||CH3CO2H||Ethanoic Acid||HC2H3O2||HOAc||Methanol carbonylation||Methane carbon dioxide||Glacia acetic acid||Ethanoic acid||Acetyl hydroxide||Ethylic acid||Hydrogen acetate||Acetic (acid)||Glacial acetic acid||Methanecarboxylic acid||CH3COOH||Ascetic acid||Azijnzuur
AceticAnhydride,Ac2O||Ethanoic anhydride||Ethanoyl ethanoate||Acetic oxide||Acetyl oxide||Acetylacetate||Acetic Anhydride||Acetanhydride||Acetyl acetate||Acetic anhydrides||Acetic acid anhydride
Acetone,(CH3)2CO||Β-ketopropane||2-Propanone||Dimethylketone||Beta-ketopropanone||Methyl ketone||Methylketone||Dimethyl Ketone||Dimethyl ketone||Propan-2-one||Propanone||Beta-ketopropane||Pyroacetic spirit||Aceton||Polish remover||2-propanone||CH3COCH3||Ketone propane
AcetoneCyanohydrin,2-Hydroxyisobutyronitrile||Acetonecyanohydrine||2-Cyanopropan-2-ol||2-cyano-2-propanol||2-cyanopropan-2-ol||2-Hydroxy-2-methyl-propionitrile||2-Methylactonitrile||Cyanohydrin-2-propanone||Α-Hydroxyisobutyronitrile
AcetylChloride,CH3COCl||C2H3OCl||Ethanoyl chloride||Acetylchlorine
Acetylcholine,[2-(acetyloxy)ethyl]trimethylazanium||2-acetoxyethyl(trimethyl)ammonium||2-acetyloxyethyl(trimethyl)ammonium||2-acetyloxyethyl(trimethyl)azanium||Acetyl choline ion||Acetylcholine||Acetylcholine cation||Acetylcholine Chloride||Acetylcholine||ACh||Acetylcholinium: acetyl-Choline||ACh||Azetylcholin||choline acetate||Choline acetate (ester)||E1001||O-acetylcholine
Acetylcholinesterase,ACHE (gene)||AcetylCholineEsterase||AChase||AChE||EC 3.1.1.7||ACHE||Acetylcholine esterase||Acetylcholine-esterase||Acetylchalinesterase||AchE
