id,type,subPropertyOf,domain,range
rc:owgr_golf_player_id,owl:AnnotationProperty,kko:identifiers,rc:Golfer,xsd:string
rc:oxford_dictionary_of_national_biography_id,owl:AnnotationProperty,kko:identifiers,rc:Agent_NonGeographical,xsd:string
rc:p_number,owl:AnnotationProperty,kko:identifiers,kko:Places,xsd:string
rc:pace_member_id,owl:AnnotationProperty,kko:identifiers,rc:ElectedOfficial,xsd:string
rc:pactols_thesaurus_id,owl:AnnotationProperty,kko:identifiers,rc:Thesaurus,xsd:string
rc:page_at_belarus_globe_website,owl:AnnotationProperty,kko:relateds,owl:Thing,xsd:string
rc:page_at_hram_by,owl:AnnotationProperty,kko:pointers,rc:Religion,xsd:string
rc:page_at_website_of_belarus_geocenter,owl:AnnotationProperty,kko:identifiers,rc:TVShow,xsd:string
rc:page_banner,owl:AnnotationProperty,kko:media,rc:BannerAdvertisementOnWebPage,xsd:string
rc:page_end,owl:AnnotationProperty,kko:pointers,rc:LiteraryWork,xsd:string
rc:page_s,owl:AnnotationProperty,kko:pointers,rc:PropositionalConceptualWork,xsd:string
rc:page_start,owl:AnnotationProperty,kko:pointers,rc:LiteraryWork,xsd:string
rc:pagination,owl:AnnotationProperty,kko:pointers,rc:LiteraryWork,xsd:string
rc:pal_dat_plant_id,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:palissy_id,owl:AnnotationProperty,kko:identifiers,rc:Watercraft_Surface,xsd:string
rc:panarctic_flora_id,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:panoramic_view,owl:AnnotationProperty,kko:media,rc:Image,xsd:string
rc:pantheon_des_sports_du_quebec_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:pares_id,owl:AnnotationProperty,kko:identifiers,rc:Topic,xsd:string
rc:paris_city_digital_code,owl:AnnotationProperty,kko:identifiers,rc:Street_Generic,xsd:string
rc:parks_gardens_uk_record_id,owl:AnnotationProperty,kko:identifiers,rc:OutdoorLocation,xsd:string
rc:parks_it_id,owl:AnnotationProperty,kko:identifiers,rc:NationalPark,xsd:string
rc:parlement_politiek_id,owl:AnnotationProperty,kko:identifiers,kko:StructuredInfo,xsd:string
rc:parliament_uk_biography_pages,owl:AnnotationProperty,kko:identifiers,rc:ElectedOfficial,xsd:string
rc:parliamentary_record_identifier,owl:AnnotationProperty,kko:identifiers,rc:ElectedOfficial,xsd:string
rc:parsons_code,owl:AnnotationProperty,kko:codes,rc:AudioConceptualWork,xsd:string
rc:pase_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:passenger_sequence_number,owl:AnnotationProperty,kko:pointers,rc:AirlineReservation,xsd:string
rc:patent_number,owl:AnnotationProperty,kko:identifiers,rc:PhysicalDevice,xsd:string
rc:patientplus_id,owl:AnnotationProperty,kko:identifiers,rc:ChemicalSubstance,xsd:string
rc:patreon_id,owl:AnnotationProperty,kko:identifiers,rc:ComputerUser,xsd:string
rc:patrimonio_inmueble_de_andalucia_id,owl:AnnotationProperty,kko:identifiers,rc:CulturalHeritage,xsd:string
rc:patrimonio_web_j_cy_l_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:patrimonioculturale_er_id,owl:AnnotationProperty,kko:identifiers,rc:HistoricalSite,xsd:string
rc:patrons_de_france_id,owl:AnnotationProperty,kko:identifiers,kko:Agents,xsd:string
rc:payment_method_id,owl:AnnotationProperty,kko:identifiers,rc:Bill_PaymentRequest,xsd:string
rc:payment_url,owl:AnnotationProperty,kko:pointers,rc:Receipt,xsd:string
rc:pcp_reference_number,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:pdb_ligand_id,owl:AnnotationProperty,kko:identifiers,rc:ProteinStuff,xsd:string
rc:pdb_structure_id,owl:AnnotationProperty,kko:identifiers,rc:ChemicalSubstance,xsd:string
rc:peak_finder_id,owl:AnnotationProperty,kko:identifiers,rc:Mountain,xsd:string
rc:peakbagger_area_id,owl:AnnotationProperty,kko:identifiers,rc:Mountain,xsd:string
rc:peakbagger_mountain_id,owl:AnnotationProperty,kko:identifiers,rc:Mountain,xsd:string
rc:peakware_mountain_id,owl:AnnotationProperty,kko:identifiers,rc:Mountain,xsd:string
rc:pei_register_of_historic_places_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:pennant_number,owl:AnnotationProperty,kko:identifiers,rc:WaterTransportationVehicle,xsd:string
rc:perlentaucher_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:perm_id,owl:AnnotationProperty,kko:identifiers,rc:OntologyInformationScience,xsd:string
rc:perry_index,owl:AnnotationProperty,kko:codes,rc:TextualPCW,xsd:string
rc:persee_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:persee_journal_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:persons_of_ancient_athens,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:petit_patrimoine_com_id,owl:AnnotationProperty,kko:identifiers,rc:HistoricalSite,xsd:string
rc:pfa_f_id,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:pfam_id,owl:AnnotationProperty,kko:identifiers,rc:ProteinStuff,xsd:string
rc:pga_tour_golf_player_id,owl:AnnotationProperty,kko:identifiers,rc:Golfer,xsd:string
rc:ph_d_tree_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:phasmida_species_file_id,owl:AnnotationProperty,kko:identifiers,rc:Insecta,xsd:string
rc:phil_papers_author_id,owl:AnnotationProperty,kko:identifiers,rc:Article_PCW,xsd:string
rc:phil_papers_publication_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedMaterial,xsd:string
rc:phil_papers_topic,owl:AnnotationProperty,kko:descriptions,rc:PublishedMaterial,xsd:string
rc:phil_people_profile,owl:AnnotationProperty,kko:descriptions,rc:PublishedMaterial,xsd:string
rc:philadelphia_museum_of_art_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:philippine_standard_geographic_code,owl:AnnotationProperty,kko:codes,kko:AreaRegion||kko:LocationPlace,xsd:string
rc:phone_number,owl:AnnotationProperty,kko:labels,kko:Agents,xsd:string
rc:photo,owl:AnnotationProperty,kko:media,kko:Places,xsd:base64Binary
rc:photographers_identities_catalog_id,owl:AnnotationProperty,kko:identifiers,rc:Photographer,xsd:string
rc:photos,owl:AnnotationProperty,kko:media,kko:Places,xsd:base64Binary
rc:photosphere_image,owl:AnnotationProperty,kko:media,rc:Image,xsd:string
rc:picto_right_id_code,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:pim_authority_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:pinakothek_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:pinterest_username,owl:AnnotationProperty,kko:identifiers,rc:ComputerUser,xsd:string
rc:pinyin_transliteration,owl:AnnotationProperty,kko:media,rc:HumanLanguage,xsd:string
rc:pizmonet_id,owl:AnnotationProperty,kko:identifiers,rc:AudioConceptualWork,xsd:string
rc:place_name_sign,owl:AnnotationProperty,kko:media,kko:Places,xsd:string
rc:plan_view_image,owl:AnnotationProperty,kko:media,rc:Image,xsd:string
rc:plant_list_id,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:plantarium_id,owl:AnnotationProperty,kko:identifiers,rc:AstronomicalObject,xsd:string
rc:plants_of_the_world_online_id,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:plarr_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:play_station_id,owl:AnnotationProperty,kko:identifiers,rc:UserProgram,xsd:string
rc:playing_range_image,owl:AnnotationProperty,kko:media,rc:MusicalInstrument,xsd:string
rc:plazi_id,owl:AnnotationProperty,kko:identifiers,rc:OrganismClassificationType,xsd:string
rc:pleiades_category_identifier,owl:AnnotationProperty,kko:identifiers,kko:Places,xsd:string
rc:pleiades_id,owl:AnnotationProperty,kko:identifiers,kko:Places,xsd:string
rc:plu_code,owl:AnnotationProperty,kko:codes,rc:Produce,xsd:string
rc:plus_4_world_identifier,owl:AnnotationProperty,kko:identifiers,rc:ComputerGameProgram_Graphical,xsd:string
rc:pm_20_folder_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:pmcid,owl:AnnotationProperty,kko:identifiers,rc:ShortTermStudy,xsd:string
rc:po_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:pokedex_pokemon_browser_number,owl:AnnotationProperty,kko:identifiers,rc:Pokemon_TradingCardGame,xsd:string
rc:pol_sys_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:polish_cultural_heritage_register_number,owl:AnnotationProperty,kko:identifiers,rc:CulturalHeritage,xsd:string
rc:polish_scientist_id,owl:AnnotationProperty,kko:identifiers,rc:Scientist,xsd:string
rc:politi_fact_personality_id,owl:AnnotationProperty,kko:identifiers,kko:Agents,xsd:string
rc:port_film_id,owl:AnnotationProperty,kko:identifiers,rc:ConceptualWork,xsd:string
rc:port_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:portuguese_job_code_cpp_2010,owl:AnnotationProperty,kko:codes,kko:Diseases,xsd:string
rc:portuguese_lighthouse_id,owl:AnnotationProperty,kko:identifiers,rc:Lighthouse,xsd:string
rc:portuguese_national_library_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:position,owl:AnnotationProperty,kko:lists,rc:ConceptualWork,xsd:string
rc:post_office_box_number,owl:AnnotationProperty,kko:identifiers,rc:MailingAddress,xsd:string
rc:postalCode,owl:AnnotationProperty,kko:codes,kko:Manifestations,xsd:string
rc:postal_code,owl:AnnotationProperty,kko:codes,rc:FixedStructure,xsd:string
rc:posthumous_name,owl:AnnotationProperty,kko:labels,kko:Persons,xsd:string
rc:power_of_10_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:prabook_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:prazdne_domy_building_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:prdl_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:premiership_rugby_com_id,owl:AnnotationProperty,kko:identifiers,rc:RugbyPlayer,xsd:string
rc:previous_item,owl:AnnotationProperty,kko:lists,rc:List_CW,xsd:string
rc:primary_image_of_page,owl:AnnotationProperty,kko:media,rc:WebPage,xsd:base64Binary
rc:print_column,owl:AnnotationProperty,kko:pointers,rc:NewsArticle,xsd:string
rc:print_edition,owl:AnnotationProperty,kko:pointers,rc:NewsArticle,xsd:string
rc:print_page,owl:AnnotationProperty,kko:pointers,rc:NewsArticle,xsd:string
rc:print_section,owl:AnnotationProperty,kko:pointers,rc:NewsArticle,xsd:string
rc:prisma_id,owl:AnnotationProperty,kko:identifiers,rc:Actor||rc:Movie,xsd:string
rc:pro_14_player_id,owl:AnnotationProperty,kko:identifiers,rc:RugbyPlayer,xsd:string
rc:pro_cycling_stats_cyclist_id,owl:AnnotationProperty,kko:identifiers,rc:Cyclist_Athlete,xsd:string
rc:pro_cycling_stats_race_id,owl:AnnotationProperty,kko:identifiers,rc:CyclingSportsEvent,xsd:string
rc:pro_cycling_stats_team_id,owl:AnnotationProperty,kko:identifiers,rc:Team,xsd:string
rc:pro_football_hall_of_fame_id_old,owl:AnnotationProperty,kko:identifiers,rc:FootballPlayer_American,xsd:string
rc:pro_football_reference_com_player_id,owl:AnnotationProperty,kko:identifiers,rc:FootballPlayer_American,xsd:string
rc:produces_cohesive_end,owl:AnnotationProperty,kko:codes,rc:DNASequence,xsd:string
rc:product_id,owl:AnnotationProperty,kko:identifiers,kko:Products,xsd:string
rc:production_code,owl:AnnotationProperty,kko:codes,rc:VideoConceptualWork,xsd:string
rc:professional_name_japan,owl:AnnotationProperty,kko:labels,kko:Persons,owl:Thing
rc:program_name,owl:AnnotationProperty,kko:labels,kko:TertiarySectorServices,xsd:string
rc:project_gutenberg_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:project_gutenberg_ebook_id,owl:AnnotationProperty,kko:identifiers,rc:Story,xsd:string
rc:pronom_file_format_identifier,owl:AnnotationProperty,kko:identifiers,rc:ComputerFileTypeByFormat,xsd:string
rc:pronom_software_identifier,owl:AnnotationProperty,kko:identifiers,rc:SoftwareObject,xsd:string
rc:pronunciation_audio,owl:AnnotationProperty,kko:media,rc:GeopoliticalEntity,xsd:string
rc:properties_for_this_type,owl:AnnotationProperty,kko:relateds,owl:Thing,owl:Thing
rc:property_id,owl:AnnotationProperty,kko:identifiers,rc:Property,xsd:string
rc:property_proposal_discussion,owl:AnnotationProperty,kko:augments,owl:Thing,xsd:string
rc:prosopographia_attica,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:protected_areas_inpn_code,owl:AnnotationProperty,kko:identifiers,rc:Reserve_OutdoorRegion,xsd:string
rc:protected_heritage_site_in_brussels_id,owl:AnnotationProperty,kko:identifiers,rc:HistoricalSite,xsd:string
rc:provisional_designation,owl:AnnotationProperty,kko:labels,rc:AstronomicalObject,xsd:string
rc:prs_legislative_research_mp_id,owl:AnnotationProperty,kko:identifiers,rc:Legislator,xsd:string
rc:psa_world_tour_id,owl:AnnotationProperty,kko:identifiers,rc:SquashPlayer,xsd:string
rc:pseudonym,owl:AnnotationProperty,kko:labels,owl:Thing,xsd:string
rc:psh_id,owl:AnnotationProperty,kko:identifiers,rc:Artifact,xsd:string
rc:pss_archi_architect_id,owl:AnnotationProperty,kko:identifiers,rc:Architect,xsd:string
rc:pss_archi_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:pub_chem_bio_assay_id_aid,owl:AnnotationProperty,kko:identifiers,rc:MedicalTesting,xsd:string
rc:pub_chem_cid,owl:AnnotationProperty,kko:identifiers,rc:ChemicalSubstance,xsd:string
rc:pub_chem_substance_id_sid,owl:AnnotationProperty,kko:identifiers,rc:ChemicalSubstance,xsd:string
rc:pub_med_health,owl:AnnotationProperty,kko:identifiers,rc:AilmentCondition,xsd:string
rc:pub_med_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:public_key_fingerprint,owl:AnnotationProperty,kko:pointers,rc:PublicKeyCryptography,xsd:string
rc:public_whip_id,owl:AnnotationProperty,kko:identifiers,rc:ElectedOfficial,xsd:string
rc:publishing_principles,owl:AnnotationProperty,kko:augments,rc:ConceptualWork,xsd:string
rc:publons_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:publons_publication_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:pubs_history_pub_id,owl:AnnotationProperty,kko:identifiers,rc:Bar_DrinkingEstablishment,xsd:string
rc:q_edu_id,owl:AnnotationProperty,kko:identifiers,rc:EducationalOrganization,xsd:string
rc:quantity_symbol,owl:AnnotationProperty,kko:media,rc:UnitOfMeasure,xsd:string
rc:qudt_unit_id,owl:AnnotationProperty,kko:identifiers,rc:UnitOfMeasure,xsd:string
rc:quebec_cultural_heritage_directory_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:quebec_cultural_heritage_directory_people_identifier,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:quebec_municipalities_geographical_code,owl:AnnotationProperty,kko:codes,rc:Municipality,xsd:string
rc:queensland_australian_football_hall_of_fame_inductee_id,owl:AnnotationProperty,kko:identifiers,rc:FootballPlayer_Australian,xsd:string
rc:queensland_heritage_register_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:queensland_place_id,owl:AnnotationProperty,kko:identifiers,kko:Places,xsd:string
rc:quora_topic_id,owl:AnnotationProperty,kko:identifiers,rc:Topic,xsd:string
rc:quora_username,owl:AnnotationProperty,kko:identifiers,rc:ComputerUser,xsd:string
rc:quote,owl:AnnotationProperty,kko:descriptions,owl:Thing,xsd:string
rc:ra_collections_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:raa_number,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:racing_reference_info_driver_id,owl:AnnotationProperty,kko:identifiers,rc:RaceCarDriver,xsd:string
rc:racon_signal,owl:AnnotationProperty,kko:identifiers,rc:Lighthouse,xsd:string
rc:radio_radicale_organizer_id,owl:AnnotationProperty,kko:identifiers,rc:PoliticalOrganization,xsd:string
rc:radio_radicale_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:radzima_org_id,owl:AnnotationProperty,kko:identifiers,rc:Temple,xsd:string
rc:railways_archive_event_id,owl:AnnotationProperty,kko:identifiers,kko:EventTypes,xsd:string
rc:rallye_info_com_driver_or_co_driver_id,owl:AnnotationProperty,kko:identifiers,rc:RaceCarDriver,xsd:string
rc:ramsar_sites_information_service_id,owl:AnnotationProperty,kko:identifiers,rc:WildernessPark,xsd:string
rc:ran_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:ranm_member_id,owl:AnnotationProperty,kko:identifiers,rc:MedicalResearcher,xsd:string
rc:rat_genome_database_id,owl:AnnotationProperty,kko:identifiers,rc:Genome_GIS,xsd:string
rc:rate_beer_brewery_id,owl:AnnotationProperty,kko:identifiers,rc:Brewery,xsd:string
rc:re_p_ec_institute_id,owl:AnnotationProperty,kko:identifiers,rc:HigherEducationInstitution,xsd:string
rc:re_p_ec_short_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:reactome_id,owl:AnnotationProperty,kko:identifiers,rc:BiochemicalPathway,xsd:string
rc:ready_64_identifier,owl:AnnotationProperty,kko:identifiers,rc:ComputerGameProgram_Graphical,xsd:string
rc:real_gm_basketball_player_id,owl:AnnotationProperty,kko:identifiers,rc:BasketballPlayer,xsd:string
rc:reaxys_registry_number,owl:AnnotationProperty,kko:identifiers,rc:ChemicalSubstance,xsd:string
rc:rebase_enzyme_number,owl:AnnotationProperty,kko:identifiers,rc:Enzyme,xsd:string
rc:recipe_instructions,owl:AnnotationProperty,kko:descriptions,rc:Recipe,xsd:string
rc:recognition_sequence,owl:AnnotationProperty,kko:codes,rc:DNASequence,xsd:string
rc:recreation_gov_gateway_id,owl:AnnotationProperty,kko:identifiers,rc:OutdoorRecreationArea,xsd:string
rc:recreation_gov_point_of_interest_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:red_bull_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:redalyc_journal_id,owl:AnnotationProperty,kko:identifiers,rc:JournalSeries,xsd:string
rc:reddit_username,owl:AnnotationProperty,kko:identifiers,rc:ComputerUser,xsd:string
rc:ref_seq,owl:AnnotationProperty,kko:identifiers,rc:CodingSequence_MolecularSegment,xsd:string
rc:ref_seq_protein_id,owl:AnnotationProperty,kko:identifiers,rc:ProteinMolecule,xsd:string
rc:ref_seq_rna_id,owl:AnnotationProperty,kko:identifiers,rc:OrganicMaterial,xsd:string
rc:reference_url,owl:AnnotationProperty,kko:pointers,rc:TextualPCW,xsd:string
rc:references_order,owl:AnnotationProperty,kko:identifiers,rc:Bill_PaymentRequest,owl:Thing
rc:refseq_genome_id,owl:AnnotationProperty,kko:identifiers,rc:OrganismClassificationType,xsd:string
rc:related_link,owl:AnnotationProperty,kko:relateds,rc:WebPage,xsd:string
rc:relations_ontology_id,owl:AnnotationProperty,kko:identifiers,rc:OntologyInformationScience,xsd:string
rc:release_notes,owl:AnnotationProperty,kko:augments,rc:SoftwareObject_Individual,xsd:string
rc:relief_location_map,owl:AnnotationProperty,kko:media,rc:GeopoliticalEntity,xsd:string
rc:religious_name,owl:AnnotationProperty,kko:labels,rc:ReligiousFigure,xsd:string
rc:repertoire_national_des_associations_identifier,owl:AnnotationProperty,kko:identifiers,rc:NonProfitOrganization,xsd:string
rc:replaced_synonym_for_nom_nov,owl:AnnotationProperty,kko:labels,rc:OrganismClassificationType,owl:Thing
rc:reply_to_url,owl:AnnotationProperty,kko:pointers,rc:UserComment,xsd:string
rc:report_number,owl:AnnotationProperty,kko:identifiers,rc:ReportOnSituation,xsd:string
rc:reporting_mark,owl:AnnotationProperty,kko:identifiers,rc:TransportationCompany_Provider,xsd:string
rc:representative_of_page,owl:AnnotationProperty,kko:media,rc:VisualImage,xsd:boolean
rc:reprezentacija_id,owl:AnnotationProperty,kko:identifiers,rc:SoccerPlayer,xsd:string
rc:rero_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:research_gate_institute_id,owl:AnnotationProperty,kko:identifiers,kko:Organizations,xsd:string
rc:research_gate_profile_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:research_papers_in_economics_series_handle,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:researcher_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:researchmap_id,owl:AnnotationProperty,kko:identifiers,rc:Researcher,xsd:string
rc:reservation_id,owl:AnnotationProperty,kko:identifiers,rc:Reservation,xsd:string
rc:reserve_number_canada,owl:AnnotationProperty,kko:identifiers,rc:NativeReservation,xsd:string
rc:reserved_ticket,owl:AnnotationProperty,kko:codes,rc:Reservation,owl:Thing
rc:reserves_naturelles_de_france_id,owl:AnnotationProperty,kko:identifiers,rc:Reserve_OutdoorRegion,xsd:string
rc:result_comment,owl:AnnotationProperty,kko:augments,rc:UserComment,xsd:string
rc:review,owl:AnnotationProperty,kko:relateds,owl:Thing,owl:Thing
rc:reviews,owl:AnnotationProperty,kko:relateds,rc:ConceptualWork,owl:Thing
rc:revised_hepburn_romanization,owl:AnnotationProperty,kko:media,rc:FixedStructure,xsd:string
rc:revised_romanization,owl:AnnotationProperty,kko:media,rc:HumanLanguage,xsd:string
rc:rf_c_id,owl:AnnotationProperty,kko:identifiers,rc:ProductStandard,xsd:string
rc:rfam_id,owl:AnnotationProperty,kko:identifiers,rc:RNAStuff,xsd:string
rc:righteous_among_the_nations_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:riigikogu_id,owl:AnnotationProperty,kko:identifiers,rc:Legislator,xsd:string
rc:rijksmonument_id,owl:AnnotationProperty,kko:identifiers,rc:Monument,xsd:string
rc:riksdagen_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:ringgold_id,owl:AnnotationProperty,kko:identifiers,rc:PublishingCompany,xsd:string
rc:riss_catalog,owl:AnnotationProperty,kko:codes,rc:PublishedConceptualWork,xsd:string
rc:ritva_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:ritva_program_id,owl:AnnotationProperty,kko:identifiers,rc:BroadcastMediaShow,xsd:string
rc:rivers_gov_protected_area_id,owl:AnnotationProperty,kko:identifiers,rc:River,xsd:string
rc:rk_dartists_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:rk_dimages_id,owl:AnnotationProperty,kko:identifiers,rc:Graphic_VisualIBT,xsd:string
rc:rk_dlibrary_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:rkd_esd_slovenia_id,owl:AnnotationProperty,kko:identifiers,rc:Story,xsd:string
rc:rky_national_built_heritage_environment_id,owl:AnnotationProperty,kko:identifiers,rc:CulturalHeritage,xsd:string
rc:road_number,owl:AnnotationProperty,kko:identifiers,rc:Roadway,xsd:string
rc:roarmap_id,owl:AnnotationProperty,kko:identifiers,rc:InformationStore,xsd:string
rc:rock_and_roll_hall_of_fame_id,owl:AnnotationProperty,kko:identifiers,rc:Musician,xsd:string
rc:rock_com_ar_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:rodovid_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:role_name,owl:AnnotationProperty,kko:labels,rc:FictionalCharacter,xsd:string
rc:roller_coaster_database_id,owl:AnnotationProperty,kko:identifiers,rc:RollerCoaster,xsd:string
rc:rolling_stone_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Musician,xsd:string
rc:roman_cognomen,owl:AnnotationProperty,kko:labels,rc:HomoGenus,owl:Thing
rc:roman_nomen_gentilicium,owl:AnnotationProperty,kko:labels,rc:HomoGenus,owl:Thing
rc:roman_praenomen,owl:AnnotationProperty,kko:labels,rc:HomoGenus,owl:Thing
rc:romania_lmi_code,owl:AnnotationProperty,kko:identifiers,rc:Monument,xsd:string
rc:romanian_olympic_and_sports_committee_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:rome_occupation_code_v_3,owl:AnnotationProperty,kko:codes,rc:PersonTypeByOccupation,xsd:string
rc:rotten_tomatoes_id,owl:AnnotationProperty,kko:identifiers,rc:ConceptualWork,xsd:string
rc:roud_folk_song_index_number,owl:AnnotationProperty,kko:identifiers,rc:Song,xsd:string
rc:routard_com_place_id,owl:AnnotationProperty,kko:identifiers,rc:GeographicalPlace_POI,xsd:string
rc:route_diagram,owl:AnnotationProperty,kko:media,rc:Routes,owl:Thing
rc:route_map,owl:AnnotationProperty,kko:media,rc:PathArtifact_Area,xsd:string
rc:route_number,owl:AnnotationProperty,kko:identifiers,rc:RailwayLine,xsd:string
rc:royal_academy_new_identifier,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:royal_aero_club_aviator_s_certificate_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:royal_belgian_football_association_player_id,owl:AnnotationProperty,kko:identifiers,rc:SoccerPlayer,xsd:string
rc:royal_dutch_athletics_federation_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:royal_swedish_academy_of_letters_member_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:rsl_editions,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:rsl_id_person,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:rsl_scanned_books_identifier,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:rss_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:rtecs_number,owl:AnnotationProperty,kko:identifiers,rc:OrganicMaterial,xsd:string
rc:ruchess_id,owl:AnnotationProperty,kko:identifiers,rc:ChessPlayer,xsd:string
rc:rugby_league_project_player_id,owl:AnnotationProperty,kko:identifiers,rc:RugbyPlayer,xsd:string
rc:rundata,owl:AnnotationProperty,kko:identifiers,rc:TextualPCW,xsd:string
rc:runeberg_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:runeberg_book_id,owl:AnnotationProperty,kko:identifiers,rc:Book,xsd:string
rc:rush_parliamentary_archive_id,owl:AnnotationProperty,kko:identifiers,rc:Legislator,xsd:string
rc:russian_bandy_federation_player_id,owl:AnnotationProperty,kko:identifiers,rc:WinterSportsAthlete,xsd:string
rc:russian_premier_league_player_id,owl:AnnotationProperty,kko:identifiers,rc:SoccerPlayer,xsd:string
rc:russiancinema_ru_film_id,owl:AnnotationProperty,kko:identifiers,rc:VideoConceptualWork,xsd:string
rc:rx_norm_cui,owl:AnnotationProperty,kko:identifiers,rc:Pharmacology,xsd:string
rc:rxno_ontology,owl:AnnotationProperty,kko:codes,rc:OrganicReaction,xsd:string
rc:s_2_a_3_biographical_database_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:s_name,owl:AnnotationProperty,kko:labels,owl:Thing,xsd:string
rc:sa_rugby_player_id,owl:AnnotationProperty,kko:identifiers,rc:RugbyPlayer,xsd:string
