id,type,subPropertyOf,domain,range
rc:content_type,owl:DatatypeProperty,kko:typingsData,rc:DynamicIndexedInfoSource,xsd:string
rc:conversion_to_si_unit,owl:DatatypeProperty,kko:equivalencesData,rc:SpatialQuantity,xsd:decimal
rc:conversion_to_standard_unit,owl:DatatypeProperty,kko:equivalencesData,rc:SpatialQuantity,xsd:decimal
rc:cook_time,owl:DatatypeProperty,kko:eventualsData,rc:Recipe,
rc:cooking_method,owl:DatatypeProperty,kko:formsData,rc:Recipe,xsd:string
rc:coordinate_location,owl:DatatypeProperty,kko:situantsData,kko:Manifestations,xsd:string
rc:coordinates_of_easternmost_point,owl:DatatypeProperty,kko:situantsData,kko:AreaRegion,xsd:string
rc:coordinates_of_northernmost_point,owl:DatatypeProperty,kko:situantsData,kko:AreaRegion,xsd:string
rc:coordinates_of_southernmost_point,owl:DatatypeProperty,kko:situantsData,kko:AreaRegion,xsd:string
rc:coordinates_of_the_point_of_view,owl:DatatypeProperty,kko:situantsData,rc:Graphic_VisualIBT,xsd:string
rc:coordinates_of_westernmost_point,owl:DatatypeProperty,kko:situantsData,kko:AreaRegion,xsd:string
rc:copyright_year,owl:DatatypeProperty,kko:quantitiesData,rc:ConceptualWork,xsd:decimal
rc:cost,owl:DatatypeProperty,kko:quantitiesData,rc:FixedStructure,xsd:decimal
rc:cost_of_damage,owl:DatatypeProperty,kko:quantitiesData,rc:Earthquake,xsd:decimal
rc:countries_not_supported,owl:DatatypeProperty,kko:extrinsicsData,rc:SoftwareObject_Individual,xsd:string
rc:countries_supported,owl:DatatypeProperty,kko:extrinsicsData,rc:SoftwareObject_Individual,xsd:string
rc:course_mode,owl:DatatypeProperty,kko:formsData,rc:Course_Academic,xsd:string
rc:course_prerequisites,owl:DatatypeProperty,kko:conjoinsData,rc:Course_Academic,xsd:string
rc:coverage_end_time,owl:DatatypeProperty,kko:eventualsData,rc:BlogPosting,
rc:coverage_start_time,owl:DatatypeProperty,kko:eventualsData,rc:BlogPosting,
rc:cruise_speed,owl:DatatypeProperty,kko:quantitiesData,rc:TransportationDevice,xsd:decimal
rc:currencies_accepted,owl:DatatypeProperty,kko:quantitiesData,rc:Business,xsd:string
rc:currency_schema,owl:DatatypeProperty,kko:quantitiesData,rc:Pricing,xsd:string
rc:daily_patronage,owl:DatatypeProperty,kko:quantitiesData,rc:TransportFacility,xsd:decimal
rc:dana_8_th_edition,owl:DatatypeProperty,kko:classificationsData,rc:Mineral,xsd:string
rc:danish_bibliometric_research_indicator_level,owl:DatatypeProperty,kko:ratingsData,rc:PublishedConceptualWork,xsd:string
rc:data_size,owl:DatatypeProperty,kko:elementalsData,rc:ComputerFile,xsd:decimal
rc:dataset_time_interval,owl:DatatypeProperty,kko:eventualsData,rc:Dataset,
rc:date_created,owl:DatatypeProperty,kko:eventualsData,rc:ConceptualWork,
rc:date_deleted,owl:DatatypeProperty,kko:eventualsData,rc:DataStream,
rc:date_depicted,owl:DatatypeProperty,kko:eventualsData,rc:ConceptualWork,xsd:string
rc:date_issued,owl:DatatypeProperty,kko:eventualsData,rc:Ticket,
rc:date_modified,owl:DatatypeProperty,kko:eventualsData,rc:ConceptualWork,
rc:date_of_baptism_in_early_childhood,owl:DatatypeProperty,kko:eventualsData,kko:Persons,xsd:string
rc:date_of_birth,owl:DatatypeProperty,kko:eventualsData,kko:Persons,xsd:string
rc:date_of_burial_or_cremation,owl:DatatypeProperty,kko:eventualsData,kko:Persons,xsd:string
rc:date_of_death,owl:DatatypeProperty,kko:eventualsData,kko:Persons,xsd:string
rc:date_of_disappearance,owl:DatatypeProperty,kko:eventualsData,kko:Persons,xsd:string
rc:date_of_first_performance,owl:DatatypeProperty,kko:eventualsData,rc:ConceptualWork,xsd:string
rc:date_of_official_closure,owl:DatatypeProperty,kko:eventualsData,kko:Manifestations,xsd:string
rc:date_of_official_opening,owl:DatatypeProperty,kko:eventualsData,rc:FixedStructure,xsd:string
rc:date_posted,owl:DatatypeProperty,kko:eventualsData,rc:JobListing,
rc:date_published,owl:DatatypeProperty,kko:eventualsData,rc:ConceptualWork,
rc:date_read,owl:DatatypeProperty,kko:eventualsData,rc:Message,
rc:date_received,owl:DatatypeProperty,kko:eventualsData,rc:Message,
rc:date_sent,owl:DatatypeProperty,kko:eventualsData,rc:Message,
rc:date_vehicle_first_registered,owl:DatatypeProperty,kko:eventualsData,rc:Automobile,
rc:dateline,owl:DatatypeProperty,kko:situantsData,rc:NewsArticle,xsd:string
rc:death_date,owl:DatatypeProperty,kko:eventualsData,kko:Persons,
rc:decomposition_point,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:default_value,owl:DatatypeProperty,kko:quantitiesData,rc:Pricing,xsd:string
rc:defined_daily_dose,owl:DatatypeProperty,kko:quantitiesData,rc:DrugSubstance,xsd:decimal
rc:defining_formula,owl:DatatypeProperty,kko:formsData,rc:Structure,xsd:string
rc:delivery_lead_time,owl:DatatypeProperty,kko:quantitiesData,rc:CommercialProposal,xsd:decimal
rc:density,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:departure_gate,owl:DatatypeProperty,kko:situantsData,rc:CommercialPassengerFlight,xsd:string
rc:departure_platform,owl:DatatypeProperty,kko:situantsData,rc:TrainTravel,xsd:string
rc:departure_terminal,owl:DatatypeProperty,kko:situantsData,rc:CommercialPassengerFlight,xsd:string
rc:departure_time,owl:DatatypeProperty,kko:eventualsData,rc:Travel_TripEvent,
rc:dependencies,owl:DatatypeProperty,kko:extrinsicsData,rc:Article_PCW,xsd:string
rc:depicts_iconclass_notation,owl:DatatypeProperty,kko:classificationsData,rc:Graphic_VisualIBT,xsd:string
